# Lens_likelihood 	 seed
6.612623966434210161e+03 3.505253765000000000e+09
6.587702303858186497e+03 3.838698518000000000e+09
6.598446427226182095e+03 1.310083993000000000e+09
6.622531823994248043e+03 1.452701648000000000e+09
6.654035860432906702e+03 2.527596629000000000e+09
6.575660398412607719e+03 3.999884980000000000e+08
6.600068687503639921e+03 1.276626789000000000e+09
6.543773314238944295e+03 1.706092407000000000e+09
6.574097886668104366e+03 3.372118891000000000e+09
6.630092838986480274e+03 1.389018918000000000e+09
6.625554411156129390e+03 9.762753910000000000e+08
6.598577712119434182e+03 4.077596958000000000e+09
6.590940152110486451e+03 6.244094220000000000e+08
6.615950803867372997e+03 6.583953890000000000e+08
6.639950188603053903e+03 1.696521501000000000e+09
6.610602771950660099e+03 1.226504503000000000e+09
6.651872554019188101e+03 1.221941752000000000e+09
6.613930040235015440e+03 8.522635410000000000e+08
6.615692616157297380e+03 1.708081400000000000e+07
6.585448622755833640e+03 2.285526961000000000e+09
6.621368248032476913e+03 3.983272140000000000e+09
6.606790026752369158e+03 3.370493789000000000e+09
6.604546306497534715e+03 3.419173212000000000e+09
6.588189498268122406e+03 5.053042200000000000e+08
6.626603925654695558e+03 1.594162900000000000e+08
6.621958227148904371e+03 2.748188633000000000e+09
6.599025959751794289e+03 6.099346470000000000e+08
6.596500850376717608e+03 3.029091600000000000e+07
6.553161558978535140e+03 1.765509900000000000e+07
6.567278236517980986e+03 1.493447302000000000e+09
6.625921897669632926e+03 1.960369166000000000e+09
6.564852301569468182e+03 4.245064420000000000e+09
6.549418620374353850e+03 3.314680748000000000e+09
6.570223972360752668e+03 1.462236723000000000e+09
6.619160988967824778e+03 2.423781169000000000e+09
6.635779809801264491e+03 2.098965394000000000e+09
6.634216719768020994e+03 3.070252254000000000e+09
6.597227502163890676e+03 3.976994925000000000e+09
6.638837600370641667e+03 2.960727660000000000e+08
6.582496303706824619e+03 8.325797710000000000e+08
6.615078262710881972e+03 4.366554740000000000e+08
6.635954295371205262e+03 1.104495501000000000e+09
6.576002329739523702e+03 1.255074171000000000e+09
6.630949659470165898e+03 4.287430404000000000e+09
6.597518668299155252e+03 3.056710174000000000e+09
6.578531623785482225e+03 3.600439250000000000e+09
6.604978848990158440e+03 7.389067190000000000e+08
6.558303621526117240e+03 2.222676305000000000e+09
6.575485138381447541e+03 7.491645100000000000e+07
6.630114613373706561e+03 6.371061900000000000e+07
6.607134267510211430e+03 1.849913199000000000e+09
6.602009356310134535e+03 4.078119014000000000e+09
6.627998571532990354e+03 1.499769178000000000e+09
6.595778335279781459e+03 2.955773343000000000e+09
6.569035282347364046e+03 2.290766669000000000e+09
6.588546421950636613e+03 4.176778060000000000e+09
6.598881110128369073e+03 2.226505054000000000e+09
6.612209449764722194e+03 7.478902620000000000e+08
6.605249055700387544e+03 3.868202051000000000e+09
6.621993148909415140e+03 3.094340549000000000e+09
6.569480234077139357e+03 3.644430200000000000e+09
6.601293508836295587e+03 2.460783420000000000e+08
6.604449637030216763e+03 2.905760900000000000e+09
6.588907870927918339e+03 2.749084815000000000e+09
6.624357343807550023e+03 1.585101565000000000e+09
6.641668357382729482e+03 4.000021215000000000e+09
6.576005813917178784e+03 1.455702898000000000e+09
6.616710776949538740e+03 3.035997446000000000e+09
6.636536751911959072e+03 2.448129277000000000e+09
6.598878699340836647e+03 4.134873044000000000e+09
6.666603601143126980e+03 2.350685888000000000e+09
6.595399983538149172e+03 2.237102761000000000e+09
6.615292900231941530e+03 3.885985013000000000e+09
6.611449514874415399e+03 1.680213633000000000e+09
6.626358824934292898e+03 2.780160236000000000e+09
6.629350819488319758e+03 3.408991071000000000e+09
6.605772223757628126e+03 5.118797660000000000e+08
6.607226873655614327e+03 3.962587233000000000e+09
6.646949174313221192e+03 1.277711058000000000e+09
6.634538584661291679e+03 2.932605653000000000e+09
6.643956120830483997e+03 3.925199689000000000e+09
6.595000921055210711e+03 1.637711321000000000e+09
6.644929464764760269e+03 1.407251600000000000e+07
6.627981954747267082e+03 3.234827000000000000e+09
6.566357598556151061e+03 2.839666838000000000e+09
6.663054383740188314e+03 2.452067672000000000e+09
6.644797772073447049e+03 2.187906288000000000e+09
6.620240654910794547e+03 8.688214200000000000e+07
6.606893314206479772e+03 2.417537360000000000e+09
6.593930162528173241e+03 3.168987553000000000e+09
6.636987662955010819e+03 1.505134080000000000e+09
6.598604917736594871e+03 1.285861857000000000e+09
6.596906448810806069e+03 3.185475910000000000e+08
6.590956255634184345e+03 1.124536369000000000e+09
6.623664827169543969e+03 3.194370343000000000e+09
6.564651845043321373e+03 4.133867301000000000e+09
6.627957664711807411e+03 2.751867539000000000e+09
6.592676425386800474e+03 3.407989874000000000e+09
6.637672571393429280e+03 3.250465464000000000e+09
6.616599538632063741e+03 3.489282904000000000e+09
6.619972199797017311e+03 3.167207439000000000e+09
6.607860543563174360e+03 2.569811437000000000e+09
6.597541466281386420e+03 2.942950677000000000e+09
6.568394663321057124e+03 3.057273580000000000e+08
6.583751120707720474e+03 1.228255086000000000e+09
6.628869805979521516e+03 3.268081496000000000e+09
6.621116428369106870e+03 3.830642976000000000e+09
6.590237506053076686e+03 1.906215459000000000e+09
6.625976028601179678e+03 3.556823087000000000e+09
6.628087263970393906e+03 4.297054090000000000e+08
6.616017362008401506e+03 1.368547610000000000e+08
6.581485836826285777e+03 1.611605081000000000e+09
6.595435257367158556e+03 4.708046180000000000e+08
6.605635180629258684e+03 2.374368454000000000e+09
6.544365293252478295e+03 2.132376539000000000e+09
6.617882275405400833e+03 3.983194438000000000e+09
6.604375476102307402e+03 5.344222200000000000e+08
6.611358897555286603e+03 2.864605534000000000e+09
6.532912727495057879e+03 2.786438899000000000e+09
6.620902604536737272e+03 3.182044462000000000e+09
6.617582451592975303e+03 3.660594150000000000e+08
6.593740109245962230e+03 4.252877430000000000e+09
6.603127745790463450e+03 2.132985470000000000e+09
6.628442650612043508e+03 4.140209700000000000e+07
