# Lens_likelihood 	 seed
6.943177444583820034e+03 2.495019914000000000e+09
6.936240203825853314e+03 3.596243845000000000e+09
6.931495536702905156e+03 1.595735656000000000e+09
6.944113903370704065e+03 2.532613897000000000e+09
6.941668248736723399e+03 9.865754050000000000e+08
6.958891433562942439e+03 3.532430559000000000e+09
6.940939402371270262e+03 2.717338867000000000e+09
6.962755246180113318e+03 2.936338152000000000e+09
6.952990245403033441e+03 9.766946400000000000e+08
6.941643719398213761e+03 4.164886968000000000e+09
6.935570718468206906e+03 4.128455578000000000e+09
6.937715176962105033e+03 3.409558824000000000e+09
6.945980674517201805e+03 1.868895481000000000e+09
6.944559861721796551e+03 3.119979059000000000e+09
6.961909151285159169e+03 3.283711044000000000e+09
6.948183983295974031e+03 8.380246520000000000e+08
6.943082688904277347e+03 6.923449140000000000e+08
6.950928127035329453e+03 3.715204124000000000e+09
6.936144279145578366e+03 3.551385360000000000e+08
6.945623505690686216e+03 1.519641638000000000e+09
6.934178668049595217e+03 1.427489889000000000e+09
6.957620361555618729e+03 5.654414200000000000e+07
6.928483382376436566e+03 4.107798443000000000e+09
6.948841943955088936e+03 3.459739611000000000e+09
6.927886571449635085e+03 2.101028925000000000e+09
6.938772354029653798e+03 1.916973847000000000e+09
6.958468085344766223e+03 2.167614187000000000e+09
6.931623889721630803e+03 3.409891572000000000e+09
6.947076737253184547e+03 1.952568550000000000e+09
6.949809249064724099e+03 2.746597785000000000e+09
6.943673848916974748e+03 9.092242530000000000e+08
6.947102328626881899e+03 1.022759180000000000e+09
6.942737439186056690e+03 4.174963018000000000e+09
6.949287018677126980e+03 4.251639516000000000e+09
6.958484452528586189e+03 4.635848690000000000e+08
6.916753171315924192e+03 1.903705656000000000e+09
6.955540237154047645e+03 8.038400530000000000e+08
6.935743334689732364e+03 3.155471738000000000e+09
6.939887844462586145e+03 2.125708220000000000e+09
6.942828745750532107e+03 1.193086835000000000e+09
6.923325955588030411e+03 2.459789558000000000e+09
6.946981198122737624e+03 3.805899831000000000e+09
6.939642530013273245e+03 3.770740069000000000e+09
6.932657718375545301e+03 3.967944008000000000e+09
6.937696904509721207e+03 1.414588570000000000e+08
6.937862034518290784e+03 1.902463567000000000e+09
6.949268333740560593e+03 2.682692588000000000e+09
6.944568028954359761e+03 4.284764086000000000e+09
6.943079172712000400e+03 2.578245866000000000e+09
6.952712698245693900e+03 3.304846346000000000e+09
6.942991521190617277e+03 1.489644702000000000e+09
6.955929490399888891e+03 7.037857520000000000e+08
6.934476850685606223e+03 1.908514846000000000e+09
