# Lens_likelihood 	 seed
6.651237554105668096e+03 1.450969211000000000e+09
6.676683088537320145e+03 3.087739823000000000e+09
6.660481278971893516e+03 1.212988374000000000e+09
6.635339946677857370e+03 1.112000165000000000e+09
6.656660532410943233e+03 5.622632200000000000e+08
6.651755779056145002e+03 5.500963100000000000e+08
6.658409255482065419e+03 7.906706930000000000e+08
6.638650664064645753e+03 3.730206330000000000e+08
6.636253505356794449e+03 3.762537965000000000e+09
6.664916143975257910e+03 5.117227350000000000e+08
6.661979115968113547e+03 3.215511409000000000e+09
6.676505233411447080e+03 6.696055550000000000e+08
6.667506057484683879e+03 4.063602329000000000e+09
6.658190629788191472e+03 3.985035886000000000e+09
6.652112403469549463e+03 2.766916760000000000e+08
6.663300801391156710e+03 3.621034102000000000e+09
6.638192212185304925e+03 1.290249361000000000e+09
6.689862708609408401e+03 3.100087260000000000e+08
6.656285300661741530e+03 7.965632000000000000e+07
6.653751319701023021e+03 8.889495820000000000e+08
6.659458698388965786e+03 2.961526406000000000e+09
6.658814958208835378e+03 1.004466590000000000e+09
6.607630818038685902e+03 3.643142129000000000e+09
6.658835342735452286e+03 1.564382678000000000e+09
6.642846263848198760e+03 1.701005608000000000e+09
6.677948107335585519e+03 1.226546427000000000e+09
6.646152662555604365e+03 3.186577783000000000e+09
6.643341108781576622e+03 3.508792631000000000e+09
6.644430779053809601e+03 1.299895186000000000e+09
6.642300298890997510e+03 4.747124490000000000e+08
6.662729962668889129e+03 7.405241390000000000e+08
6.634839108119937009e+03 4.162482767000000000e+09
6.649501409576647347e+03 1.779179358000000000e+09
6.670748896993832204e+03 1.840988230000000000e+08
6.653964606715469017e+03 1.056255416000000000e+09
6.660812803010672724e+03 7.941046020000000000e+08
6.637642665315525846e+03 4.281189476000000000e+09
6.665902025799928197e+03 9.902739830000000000e+08
6.676555585425707250e+03 3.910444365000000000e+09
6.623907606688813758e+03 2.676363201000000000e+09
6.669215040222612515e+03 1.418793836000000000e+09
6.631301149159129636e+03 3.283461818000000000e+09
6.672017484181574218e+03 4.281376761000000000e+09
6.667675126756324062e+03 3.091814407000000000e+09
6.668294848935937807e+03 1.720401804000000000e+09
6.630807903289722162e+03 4.720918800000000000e+07
6.656471496393878624e+03 2.267114210000000000e+08
6.652378132302613267e+03 8.639003960000000000e+08
6.671927948502595427e+03 3.366208330000000000e+09
6.638497457169866721e+03 1.285633714000000000e+09
6.620930381260544891e+03 2.108125330000000000e+09
6.656997338855400812e+03 3.846212975000000000e+09
