# Lens_likelihood 	 seed
5.183060687765050716e+03 3.228574147000000000e+09
5.180333829131423045e+03 1.560428361000000000e+09
5.167840903613447153e+03 3.745021056000000000e+09
5.176786906417984937e+03 1.465582894000000000e+09
5.203778012665829010e+03 1.060488048000000000e+09
5.111251876471166725e+03 3.797754756000000000e+09
5.138334413672873779e+03 1.624453700000000000e+08
5.189857000993351903e+03 2.907525567000000000e+09
5.150675246070522917e+03 2.269645136000000000e+09
5.142556236680240545e+03 1.649769298000000000e+09
5.149711895900572927e+03 1.137245963000000000e+09
5.201250414400062255e+03 3.252726509000000000e+09
5.159785205547003898e+03 1.684485134000000000e+09
5.188333431811513947e+03 4.265595860000000000e+08
5.201073738307003623e+03 1.791726082000000000e+09
5.170194947078647601e+03 3.920903683000000000e+09
5.182938429239662582e+03 3.031128526000000000e+09
5.151866284499103131e+03 3.027930659000000000e+09
5.167068163960761922e+03 2.950933155000000000e+09
5.147018543052634413e+03 2.436907521000000000e+09
5.187915732321014730e+03 1.652550166000000000e+09
5.170612612612804696e+03 2.340581300000000000e+08
5.166185680818999572e+03 2.394593516000000000e+09
5.169908908046520082e+03 3.337038118000000000e+09
5.152416700095857777e+03 2.762412352000000000e+09
5.184575550623058007e+03 8.340388800000000000e+08
5.172500483313815494e+03 2.647351959000000000e+09
5.163717033516836636e+03 3.171049989000000000e+09
5.149725806006109451e+03 9.654784810000000000e+08
5.158256548490096066e+03 1.043429483000000000e+09
5.185750051194529078e+03 4.025909839000000000e+09
5.110117865936721500e+03 2.772662631000000000e+09
5.169420993783403901e+03 3.330509985000000000e+09
5.158384937890090441e+03 3.060190892000000000e+09
5.186715562537667211e+03 4.543870910000000000e+08
5.174595512524429978e+03 3.191430220000000000e+08
5.149279368832590990e+03 3.563707657000000000e+09
5.150840344092737723e+03 1.707717060000000000e+08
5.195489204220906686e+03 2.018305602000000000e+09
5.169343554375510394e+03 6.733381200000000000e+07
5.149918750132335845e+03 3.018621902000000000e+09
5.166053184001665613e+03 3.339932198000000000e+09
5.177751557316951221e+03 2.644969641000000000e+09
5.150687958145454104e+03 2.465178746000000000e+09
5.156623526601324556e+03 1.096243936000000000e+09
5.159814317369590754e+03 2.236734410000000000e+09
5.154535933332796048e+03 3.698633118000000000e+09
5.149957202164119735e+03 3.197828580000000000e+08
5.145665706330872126e+03 1.390191140000000000e+08
5.164168768814227406e+03 1.581185175000000000e+09
5.180054496646627740e+03 1.104935721000000000e+09
5.163994040873307313e+03 8.365687690000000000e+08
5.147933184079745843e+03 1.237943975000000000e+09
5.159659948084306052e+03 3.233397701000000000e+09
5.177808261117201255e+03 1.601487109000000000e+09
5.132086467930249455e+03 2.592205175000000000e+09
5.179989365512118638e+03 1.741853619000000000e+09
5.176362182565781040e+03 7.546779240000000000e+08
5.186009978377127482e+03 2.346646900000000000e+08
5.178862035868951352e+03 3.786897370000000000e+08
5.165592610244422758e+03 1.851733044000000000e+09
5.168769540845345546e+03 1.673426732000000000e+09
5.157217102182103190e+03 2.310393450000000000e+09
5.164198396227758167e+03 2.512041350000000000e+08
5.176188419926369534e+03 1.648644176000000000e+09
5.167772766800616409e+03 4.017837617000000000e+09
5.168121241360405293e+03 2.407681964000000000e+09
5.157321780000511353e+03 6.849667070000000000e+08
5.204043995741707477e+03 1.792454494000000000e+09
5.182464498583566638e+03 1.516890886000000000e+09
5.128271084930692268e+03 3.706739619000000000e+09
5.198926690383646928e+03 2.956348072000000000e+09
5.151199961330890801e+03 4.062856691000000000e+09
5.184463614539616174e+03 4.107085610000000000e+09
5.167252655263935594e+03 2.791933887000000000e+09
5.206371974568294718e+03 3.059686230000000000e+08
5.134765235684929394e+03 9.013954530000000000e+08
5.144473816923897175e+03 3.794527879000000000e+09
5.153365856240675384e+03 5.260824710000000000e+08
5.171443007746566764e+03 4.077782303000000000e+09
5.140924356676528987e+03 1.283596390000000000e+09
5.142444693008952527e+03 3.954000134000000000e+09
5.165968703362515953e+03 2.850253350000000000e+09
5.162055791008185224e+03 2.629041026000000000e+09
5.198463914929395287e+03 3.648635659000000000e+09
5.135745864300788526e+03 3.865946960000000000e+08
5.169963400855489454e+03 3.867226653000000000e+09
5.148364149497499966e+03 1.308456286000000000e+09
5.144923629158773110e+03 3.828471970000000000e+09
5.157846471462585214e+03 8.877906000000000000e+07
5.163012921283631840e+03 1.819287250000000000e+09
5.197713566711880048e+03 3.479634145000000000e+09
5.129221006524498080e+03 1.553585356000000000e+09
5.176626200150347358e+03 3.964127543000000000e+09
5.176282792351727039e+03 1.914496202000000000e+09
5.166333333661104916e+03 3.166248893000000000e+09
5.121357487045424023e+03 7.048068330000000000e+08
5.139789408051736245e+03 2.541351422000000000e+09
5.175626555230222039e+03 2.866299111000000000e+09
5.169664578512567459e+03 3.422280823000000000e+09
5.160912801433869390e+03 8.657020570000000000e+08
5.182430148452337562e+03 3.172742089000000000e+09
5.152825844305402825e+03 3.772166286000000000e+09
5.158947008551393083e+03 2.754958604000000000e+09
5.174273143155679463e+03 3.693003743000000000e+09
5.154642290528432568e+03 2.908785772000000000e+09
5.186995412348624996e+03 1.793377904000000000e+09
5.156760384179053290e+03 5.878788580000000000e+08
5.177222612877767460e+03 2.786194637000000000e+09
5.133750149180098560e+03 1.938012201000000000e+09
5.158908781704785724e+03 1.327389531000000000e+09
5.148804577694239015e+03 5.910747660000000000e+08
5.123837456884388303e+03 2.416317911000000000e+09
5.153924385211992558e+03 1.355416777000000000e+09
5.129487184688673551e+03 1.413136734000000000e+09
5.153925029060374072e+03 4.535123390000000000e+08
5.150840344385079334e+03 3.627375404000000000e+09
5.182026800400713910e+03 1.665832326000000000e+09
5.171062847414317730e+03 3.922548770000000000e+09
5.187820645076641995e+03 1.716180164000000000e+09
5.195754008070335658e+03 3.533891194000000000e+09
5.156242188341268047e+03 2.539490067000000000e+09
5.152906554221551232e+03 3.412189105000000000e+09
