# Lens_likelihood 	 seed
4.573594082419022925e+03 2.003278895000000000e+09
4.437140081159031070e+03 1.722622583000000000e+09
4.441597815281871590e+03 1.639277821000000000e+09
4.619936433552471499e+03 3.214286266000000000e+09
4.686902075078940470e+03 2.170609582000000000e+09
4.607591387081615721e+03 3.323387360000000000e+08
4.308493103600043469e+03 1.509354743000000000e+09
4.654908961247965635e+03 5.857311810000000000e+08
4.392039129263561335e+03 1.047498404000000000e+09
4.438591506922387453e+03 4.093955941000000000e+09
4.504660764261661825e+03 1.336985621000000000e+09
4.585990902264500619e+03 7.398259470000000000e+08
4.584904306789014299e+03 1.265577803000000000e+09
4.474483406667897725e+03 3.083375576000000000e+09
4.514321155141864438e+03 1.005975866000000000e+09
4.547144003405579497e+03 3.141686258000000000e+09
4.520141293579163175e+03 1.773510308000000000e+09
4.494370170813614095e+03 2.755774515000000000e+09
4.410147944207155888e+03 5.110792630000000000e+08
4.809199122744304987e+03 2.819945262000000000e+09
4.627856477622959574e+03 3.079001458000000000e+09
4.430143210870804978e+03 2.481724548000000000e+09
4.538188520526081447e+03 2.906983871000000000e+09
4.390537072794282722e+03 9.411045900000000000e+07
4.633841229271401062e+03 3.897739350000000000e+09
4.608729870579651106e+03 2.051614492000000000e+09
4.467856509668445142e+03 1.806311130000000000e+08
4.458184079684435346e+03 2.540190997000000000e+09
4.602634668876880824e+03 1.172306227000000000e+09
4.485982026644807775e+03 6.142877860000000000e+08
4.671672475962285716e+03 2.521553885000000000e+09
4.434171625645120002e+03 1.247429636000000000e+09
4.515629156500610407e+03 3.203945020000000000e+09
4.573522052764868022e+03 1.307668140000000000e+08
4.451111291176342093e+03 3.902952553000000000e+09
4.583547957021034563e+03 2.140217456000000000e+09
4.440344760728421534e+03 2.235090235000000000e+09
4.644188394457545655e+03 3.027178389000000000e+09
4.501936282289278097e+03 9.075929590000000000e+08
4.495235747495053147e+03 2.732199313000000000e+09
4.364204016888394108e+03 1.743072678000000000e+09
4.556693495132518365e+03 4.074389722000000000e+09
4.557848344633785018e+03 1.252941766000000000e+09
4.606960193259527841e+03 2.172343971000000000e+09
4.475887379432169837e+03 6.519942260000000000e+08
4.501385357691156059e+03 1.462275662000000000e+09
4.570302197466657162e+03 2.295317270000000000e+09
4.546485318162149269e+03 2.493996489000000000e+09
4.645884011173673571e+03 8.854446780000000000e+08
4.761692257723532748e+03 8.625820970000000000e+08
4.406216086930709025e+03 2.951313997000000000e+09
4.501187058524185886e+03 1.238580860000000000e+08
4.516539927491466187e+03 1.559911726000000000e+09
4.429941793094136301e+03 2.316589862000000000e+09
4.715992362287472133e+03 3.849837487000000000e+09
4.560054373347233195e+03 3.349284854000000000e+09
4.476636388419867217e+03 4.117521539000000000e+09
4.505321917040188055e+03 5.951473820000000000e+08
4.440261090278765550e+03 8.073271050000000000e+08
4.476344733107969660e+03 2.700871404000000000e+09
4.640178686691435360e+03 1.743050813000000000e+09
4.550528259286169487e+03 5.687063770000000000e+08
4.499192892691240559e+03 4.223551799000000000e+09
4.556969421978761602e+03 3.277221555000000000e+09
4.415513922333682785e+03 2.550621524000000000e+09
4.584261076668679380e+03 2.288376840000000000e+09
4.526908173447642184e+03 1.451783816000000000e+09
4.386693652619797831e+03 3.203414892000000000e+09
4.512817520833611525e+03 1.093951653000000000e+09
4.544939579616448100e+03 3.612221652000000000e+09
4.329298693887581067e+03 4.044961583000000000e+09
4.392286746588382812e+03 3.349387440000000000e+08
4.627070520552235394e+03 3.928474691000000000e+09
4.489062838758116413e+03 3.580816687000000000e+09
4.399937525526542231e+03 5.298028600000000000e+07
4.486535969883322650e+03 3.275183333000000000e+09
4.625288283980335109e+03 4.225564304000000000e+09
4.540087106876634607e+03 1.892771700000000000e+09
4.551224030153596686e+03 2.770352476000000000e+09
4.536842999581266668e+03 1.028007623000000000e+09
4.600233143476365512e+03 9.126716390000000000e+08
4.442783978662384470e+03 2.276900039000000000e+09
4.554772762960328691e+03 2.937566384000000000e+09
4.384119918233368480e+03 4.206353039000000000e+09
4.559547656709023613e+03 1.333406917000000000e+09
4.593531639586677557e+03 7.880380160000000000e+08
4.568022157594981763e+03 4.130343682000000000e+09
4.631900382267922396e+03 3.941594660000000000e+09
4.525168807771629872e+03 3.603679288000000000e+09
4.490877872619766094e+03 7.319777850000000000e+08
5.052511842789768707e+03 1.237851168000000000e+09
4.542397830351129414e+03 1.462416916000000000e+09
4.676894216215934648e+03 3.828585273000000000e+09
4.461521435360175019e+03 1.207389196000000000e+09
4.622600343741531105e+03 2.458082845000000000e+09
4.503915285371755090e+03 1.322342790000000000e+08
4.745580591215651111e+03 3.357899243000000000e+09
4.528705459452468858e+03 1.752993043000000000e+09
4.517247864055499122e+03 1.228117180000000000e+08
4.419705776591032190e+03 2.087440216000000000e+09
4.415053497051861086e+03 3.315258208000000000e+09
4.479886364592326572e+03 5.870764770000000000e+08
4.547365320129575593e+03 1.504832691000000000e+09
4.487485070090668160e+03 1.766309463000000000e+09
4.483772289952850770e+03 3.213645861000000000e+09
4.358759633597102948e+03 3.631504195000000000e+09
4.489859827335539194e+03 2.565916182000000000e+09
4.524307823574600661e+03 6.138221750000000000e+08
4.601805736968985002e+03 1.718433457000000000e+09
4.517098854850802127e+03 2.296208865000000000e+09
4.569064762278389935e+03 5.295486760000000000e+08
4.567370308875299088e+03 1.937296365000000000e+09
4.444576486579040647e+03 9.255408700000000000e+08
4.422155362563109520e+03 3.828223410000000000e+09
4.533049771187284932e+03 2.453891368000000000e+09
4.477751615070650587e+03 2.901894338000000000e+09
4.581896568374554590e+03 5.413681120000000000e+08
4.362335536781501105e+03 1.172516864000000000e+09
4.518338618243868041e+03 1.949666223000000000e+09
4.495791386445620446e+03 3.307488895000000000e+09
4.349229689358013275e+03 2.816010295000000000e+09
4.578900538794998283e+03 5.681867470000000000e+08
4.477280922866578294e+03 1.098537162000000000e+09
4.480227957061650159e+03 2.547889562000000000e+09
4.593089576715488874e+03 9.545383700000000000e+07
4.721986491912870406e+03 4.027621365000000000e+09
4.599715612393547417e+03 1.305906157000000000e+09
4.393852158995979153e+03 8.832633040000000000e+08
4.550432412229210968e+03 4.047274558000000000e+09
4.483546907059730074e+03 3.956766942000000000e+09
4.533160044595112595e+03 1.843891811000000000e+09
4.497351816912483628e+03 2.625515080000000000e+08
4.504157688893821614e+03 7.386414560000000000e+08
