# Lens_likelihood 	 seed
4.007330427923292518e+03 1.322753060000000000e+09
3.657632592339199618e+03 2.853800943000000000e+09
4.400536794263673983e+03 2.743086425000000000e+09
5.700522238038005526e+03 2.551296592000000000e+09
3.342021927659108769e+03 2.626014798000000000e+09
4.923516423761091573e+03 3.536036874000000000e+09
4.583635309467346815e+03 2.041834198000000000e+09
3.937436750167587888e+03 1.336752875000000000e+09
4.445447423941675879e+03 3.368799922000000000e+09
4.873892291189794378e+03 2.444294595000000000e+09
4.893763329092399545e+03 2.201953882000000000e+09
4.280672732639855894e+03 9.768939730000000000e+08
5.425048846273242816e+03 2.119864833000000000e+09
5.183345081598828074e+03 4.106405886000000000e+09
5.633597291895483067e+03 5.576480140000000000e+08
4.850250565251320040e+03 2.844962922000000000e+09
4.036157844710643985e+03 3.666960000000000000e+08
5.130562023845841395e+03 2.064589970000000000e+09
5.089251754126024025e+03 2.367758757000000000e+09
4.911966491089357078e+03 3.021981828000000000e+09
3.955948439661528028e+03 7.075127700000000000e+07
3.419119124660731359e+03 3.192949214000000000e+09
4.821013522998373446e+03 3.470057520000000000e+08
5.392410145926332007e+03 4.257026150000000000e+08
4.101355486597029994e+03 3.791543568000000000e+09
4.225988863735072300e+03 1.014987238000000000e+09
4.935368362341091597e+03 1.988031230000000000e+08
3.753026395540243357e+03 1.557856697000000000e+09
4.481270759541834195e+03 3.099064570000000000e+08
4.829597070468294987e+03 9.676495110000000000e+08
5.353827933373751875e+03 1.338058096000000000e+09
5.243589282632243339e+03 3.953561544000000000e+09
3.841255127315555001e+03 9.371803590000000000e+08
3.863805442671941819e+03 9.194914880000000000e+08
4.573413896716717318e+03 3.784938146000000000e+09
4.774122859193281329e+03 2.615856823000000000e+09
4.002588239860304384e+03 3.143994869000000000e+09
4.938931995652313162e+03 3.230345217000000000e+09
3.984737042988605026e+03 1.924583429000000000e+09
4.052002489952114956e+03 3.229236473000000000e+09
5.556374018375472588e+03 1.955856543000000000e+09
3.623179793111806248e+03 4.636007470000000000e+08
4.132759697228031655e+03 1.954598770000000000e+09
5.110258963610439423e+03 2.003403345000000000e+09
4.973278534610504721e+03 3.560864264000000000e+09
4.591232562463391332e+03 3.590171907000000000e+09
5.371489575703291848e+03 3.170538455000000000e+09
3.966157089657418510e+03 3.318970410000000000e+09
3.179197672704198339e+03 2.901599350000000000e+08
4.400508210231797420e+03 2.885283700000000000e+08
4.627726956910086301e+03 2.914892266000000000e+09
3.770346621027035326e+03 3.505884601000000000e+09
5.217194351191625174e+03 4.504770340000000000e+08
5.160138582940526248e+03 2.327498456000000000e+09
4.344783705601986185e+03 4.234024416000000000e+09
5.105143532925016189e+03 2.050587208000000000e+09
4.097249058688789773e+03 1.252901405000000000e+09
5.968499152756226977e+03 3.656006833000000000e+09
4.090984545280000020e+03 2.086920413000000000e+09
5.121843917690861417e+03 3.347220256000000000e+09
4.018136570385516279e+03 3.099754488000000000e+09
4.015379413081386701e+03 2.052246984000000000e+09
4.832202362216239635e+03 1.748253040000000000e+09
2.655206636702601827e+03 2.070984126000000000e+09
5.101199333856612611e+03 4.939989300000000000e+08
3.743584467236842102e+03 1.625943398000000000e+09
4.525203161975095099e+03 2.969534110000000000e+09
5.726780732421557332e+03 2.152674400000000000e+08
5.001947125929546928e+03 8.271879350000000000e+08
3.304782581018810561e+03 3.283031752000000000e+09
3.930517384709568432e+03 4.181255370000000000e+09
5.171212125391024529e+03 2.823903502000000000e+09
5.406388002887206312e+03 3.051273051000000000e+09
4.513459795267468508e+03 1.509620860000000000e+09
4.804706292368433424e+03 1.009387643000000000e+09
4.142659960525846145e+03 2.735897411000000000e+09
4.182004641282457669e+03 2.776905763000000000e+09
2.715404407318272206e+03 2.254539512000000000e+09
4.566684258408397000e+03 8.334304700000000000e+08
5.323569090346504709e+03 3.213595069000000000e+09
4.642357641204799620e+03 3.582112144000000000e+09
4.552915717286990912e+03 4.185206653000000000e+09
4.456264994637513155e+03 8.088859220000000000e+08
5.031256403980129107e+03 1.655293923000000000e+09
4.788778802693854232e+03 3.552174940000000000e+09
4.566240119954594775e+03 2.515421240000000000e+08
4.355759674053697381e+03 1.822445073000000000e+09
4.354131371552614837e+03 1.933170800000000000e+07
4.403691891597167341e+03 1.937713619000000000e+09
3.824241109432926351e+03 1.318468612000000000e+09
4.380275197871419550e+03 7.186239020000000000e+08
3.311969357402825153e+03 3.600820165000000000e+09
3.858289980752865631e+03 4.084798023000000000e+09
5.138493504034726357e+03 2.902890503000000000e+09
6.234837606794635576e+03 1.926257276000000000e+09
4.818955644963363738e+03 4.467616590000000000e+08
2.536058809707651562e+03 3.927140949000000000e+09
5.558458338489099333e+03 3.757862658000000000e+09
5.396745020938311427e+03 6.142377590000000000e+08
3.841706126280500030e+03 1.487261598000000000e+09
4.135950632760471308e+03 3.860461878000000000e+09
3.248973532921188962e+03 3.150007698000000000e+09
4.067336099224496138e+03 2.537999272000000000e+09
4.673892287606348873e+03 4.464302030000000000e+08
3.879000524176570252e+03 1.630850502000000000e+09
5.015246181138602878e+03 2.572785974000000000e+09
5.609293155200533874e+03 1.323306370000000000e+08
4.136084023963224354e+03 3.167184394000000000e+09
4.821481864473435053e+03 2.008463660000000000e+08
5.948229221465549927e+03 1.198534655000000000e+09
5.137306052776995784e+03 2.624037641000000000e+09
3.176440393539802244e+03 7.054321050000000000e+08
4.008981074730088039e+03 1.111801411000000000e+09
5.234536384669083418e+03 2.439073691000000000e+09
4.216652998071143884e+03 2.616594599000000000e+09
3.401659584433430609e+03 4.563739970000000000e+08
5.079574484156639301e+03 2.732850780000000000e+08
4.409585356943147417e+03 3.624243692000000000e+09
3.671228800144990601e+03 2.672949372000000000e+09
3.795726240571578273e+03 7.648618710000000000e+08
3.854981220820973249e+03 8.727280600000000000e+08
4.853619342093033993e+03 1.280670503000000000e+09
4.876971024554924043e+03 2.810154553000000000e+09
5.159176501957877917e+03 3.210055362000000000e+09
4.077259975501646295e+03 2.947565050000000000e+08
3.736169562907482941e+03 2.338510732000000000e+09
4.603230411173688481e+03 1.303302426000000000e+09
4.719767490725746029e+03 2.738264076000000000e+09
3.959462772856340962e+03 1.690473382000000000e+09
4.802122560202355089e+03 4.249414802000000000e+09
3.761051593486788988e+03 3.416442684000000000e+09
5.124104030638189215e+03 2.357369752000000000e+09
4.614403531884495351e+03 3.163176118000000000e+09
4.146258018082143280e+03 5.116150800000000000e+08
3.343880893756231671e+03 3.330483402000000000e+09
4.539338431186412890e+03 3.618415051000000000e+09
5.274251322515663560e+03 2.514528347000000000e+09
5.334426690264035642e+03 7.613983800000000000e+07
4.875613307247846933e+03 7.995197760000000000e+08
4.877383662888557410e+03 3.218785561000000000e+09
5.005324416491236661e+03 2.413444104000000000e+09
4.560577870216816336e+03 8.529427700000000000e+08
4.295541988756804130e+03 3.312793060000000000e+08
4.597825804233129929e+03 3.211152993000000000e+09
3.557877552376555286e+03 2.158129093000000000e+09
2.852900515813918901e+03 2.816338164000000000e+09
5.436336810074028108e+03 4.191729135000000000e+09
4.426616414116368105e+03 1.954390022000000000e+09
5.404061814119684641e+03 1.867480315000000000e+09
4.300397916789321243e+03 1.451685922000000000e+09
4.353029510248977203e+03 1.035536010000000000e+08
5.102755248777370070e+03 6.358372400000000000e+08
5.647848963063051997e+03 8.076127900000000000e+07
4.560178277697263184e+03 1.827296661000000000e+09
4.211666847635106933e+03 4.952767400000000000e+07
3.277579446940853813e+03 2.459154613000000000e+09
4.668738456327882886e+03 1.245302494000000000e+09
5.397375056530698203e+03 2.360640046000000000e+09
4.747768595310362798e+03 3.440047048000000000e+09
4.296710763852829587e+03 4.292890615000000000e+09
4.849710877964538668e+03 3.596740324000000000e+09
5.069568223163716539e+03 1.932906304000000000e+09
5.097443286394369352e+03 3.854563116000000000e+09
3.614378954649107982e+03 5.333248720000000000e+08
2.980260972944089190e+03 1.723201859000000000e+09
3.026688995347467426e+03 1.035378520000000000e+08
4.967714444354583975e+03 2.429808126000000000e+09
5.003727477709607228e+03 2.736810820000000000e+09
6.000323075973419691e+03 1.644287144000000000e+09
4.228297865399243165e+03 3.321958279000000000e+09
4.045770051553077792e+03 3.699121489000000000e+09
5.319174233367521083e+03 1.114866280000000000e+09
4.652449672243472378e+03 3.690292059000000000e+09
2.880356682089050992e+03 7.851360920000000000e+08
4.889945480353938365e+03 2.882264901000000000e+09
3.922933366329163619e+03 2.458357570000000000e+08
4.446761857056965709e+03 1.063450285000000000e+09
4.817491339317920392e+03 3.729159398000000000e+09
4.235950571122762085e+03 2.504029393000000000e+09
5.899528617325096093e+03 1.401124779000000000e+09
5.051256619970004976e+03 3.952459150000000000e+08
5.437725662972585269e+03 6.505366990000000000e+08
3.816851984414794970e+03 8.425657370000000000e+08
5.709694511066607447e+03 3.253830363000000000e+09
5.339061775465337632e+03 7.307283980000000000e+08
5.101851546017227520e+03 1.396587730000000000e+08
4.195178263383872945e+03 3.916566087000000000e+09
3.552568984620480478e+03 1.478300749000000000e+09
2.545987358437693729e+03 2.064134503000000000e+09
3.479383453804853161e+03 1.633273304000000000e+09
4.601997290375571538e+03 3.725905006000000000e+09
5.170485571376102598e+03 2.881206651000000000e+09
3.971404286755829162e+03 1.054633413000000000e+09
5.260954005103516465e+03 3.060710572000000000e+09
4.555349120248635700e+03 3.191886977000000000e+09
4.507054270949342026e+03 1.339291322000000000e+09
4.415591455044956092e+03 2.273400174000000000e+09
5.125830364183234451e+03 6.961927910000000000e+08
4.877660660663303133e+03 7.109443430000000000e+08
4.052754335044701293e+03 3.026723170000000000e+09
4.848109770802497223e+03 4.218653510000000000e+09
5.195681746998239760e+03 3.117772929000000000e+09
3.663779741751032816e+03 2.702142070000000000e+09
3.652587155485127369e+03 2.985505664000000000e+09
4.663012159416623945e+03 1.082774720000000000e+08
5.205194655744042393e+03 1.279407900000000000e+07
5.075635640578088896e+03 2.283868574000000000e+09
3.370978296654768201e+03 2.158026582000000000e+09
4.066405043473600927e+03 6.676323590000000000e+08
3.724317844021228666e+03 2.797275464000000000e+09
3.562171301473646963e+03 2.560294189000000000e+09
5.131643390831508441e+03 9.102911840000000000e+08
5.548305744652786416e+03 2.925240340000000000e+08
4.631342022832350267e+03 4.048231600000000000e+09
5.468786587033700926e+03 1.776701700000000000e+09
3.052484089391713496e+03 9.768172320000000000e+08
4.043827903018066536e+03 3.627596151000000000e+09
4.732783761685168429e+03 3.723162540000000000e+08
4.533105268136989253e+03 1.137796127000000000e+09
4.751368153040927609e+03 2.317219244000000000e+09
3.400323855544414982e+03 2.619411665000000000e+09
5.259424165847591212e+03 1.487019266000000000e+09
3.784558714671571579e+03 2.571166309000000000e+09
3.299211593191415886e+03 3.504342344000000000e+09
3.246585566366561579e+03 1.455486568000000000e+09
5.129754266046254997e+03 3.346702786000000000e+09
4.789094847599314562e+03 2.310211342000000000e+09
3.581512123637094192e+03 1.814367946000000000e+09
3.752970657073178700e+03 1.652062711000000000e+09
4.570745057127722248e+03 8.667394920000000000e+08
3.654319451426942578e+03 3.513603239000000000e+09
