# Lens_likelihood 	 seed
5.462924626492316747e+03 2.364097832000000000e+09
5.442741441419213515e+03 1.093129278000000000e+09
5.456895382568327477e+03 3.438113777000000000e+09
5.460312057799134891e+03 6.218228600000000000e+07
5.458855487347053895e+03 2.907007048000000000e+09
5.419375237954487602e+03 2.820220676000000000e+09
5.440299740252767151e+03 2.029408606000000000e+09
5.454187960912063318e+03 5.201734960000000000e+08
5.443655977264502326e+03 1.522359456000000000e+09
5.454899672072483554e+03 4.207627252000000000e+09
5.463391492487157848e+03 1.876564950000000000e+08
5.423746131904707909e+03 8.709259270000000000e+08
5.443549291557382276e+03 4.197868138000000000e+09
5.446007365189911070e+03 5.542577710000000000e+08
5.442282571740271123e+03 2.696562574000000000e+09
5.458209727440593269e+03 3.270954900000000000e+08
5.454387230987676048e+03 3.678314285000000000e+09
5.433900252985624320e+03 1.826611031000000000e+09
5.450113254830556798e+03 1.507917692000000000e+09
5.461961621930643560e+03 1.418786550000000000e+08
5.440757719275411546e+03 2.816901878000000000e+09
5.474198902806103433e+03 4.053436210000000000e+08
5.454758721535850782e+03 1.404280438000000000e+09
5.436713056835856150e+03 1.985189824000000000e+09
5.453220227553041696e+03 2.220426020000000000e+09
5.466564454749725883e+03 4.193552939000000000e+09
5.463409965163060406e+03 1.477430838000000000e+09
5.453894434683815234e+03 2.975682336000000000e+09
5.418176925694769125e+03 2.865941644000000000e+09
5.469796710816005543e+03 3.831705530000000000e+08
5.453383659315694786e+03 1.315053757000000000e+09
5.444567670514844394e+03 5.056044750000000000e+08
5.450706718004951654e+03 3.046751993000000000e+09
5.458219377893119599e+03 2.940360580000000000e+09
5.441616879652528951e+03 3.646277180000000000e+09
5.440369972533688269e+03 5.161495360000000000e+08
5.443627559841783295e+03 3.421152466000000000e+09
5.429010246850170915e+03 3.759463269000000000e+09
5.457734364966599060e+03 4.264404750000000000e+09
5.477391725382717595e+03 3.952927628000000000e+09
5.467995855759346341e+03 3.487889968000000000e+09
5.461979354215347485e+03 6.156809840000000000e+08
5.461442811273511325e+03 2.231322589000000000e+09
5.432283377726893377e+03 4.105851872000000000e+09
5.456068068563243287e+03 1.719727668000000000e+09
5.428470695327367139e+03 4.793676820000000000e+08
5.455748236656607332e+03 4.228222584000000000e+09
5.433835291039720687e+03 2.552667393000000000e+09
5.452943101218468655e+03 5.947537200000000000e+08
5.462454468921533589e+03 3.348175834000000000e+09
5.470773953330079166e+03 5.015291640000000000e+08
5.410893530640868448e+03 2.285731142000000000e+09
5.452620474033565188e+03 3.834030650000000000e+08
5.444440503931825333e+03 3.439094329000000000e+09
5.472915525973125114e+03 4.852866690000000000e+08
5.454760476555542482e+03 3.703990671000000000e+09
5.441467791147320895e+03 2.657620862000000000e+09
5.438206685826196917e+03 3.455300710000000000e+09
5.458356007652691005e+03 7.292555980000000000e+08
5.454871439146672856e+03 2.953263447000000000e+09
5.435770808336566915e+03 6.726856560000000000e+08
5.468984615492445300e+03 1.065589800000000000e+09
5.428663843493915010e+03 3.728958204000000000e+09
5.457960180731895889e+03 5.842754070000000000e+08
5.436004822087974389e+03 6.668711660000000000e+08
5.441885211943598733e+03 1.639434810000000000e+08
5.446684272822643834e+03 2.975752660000000000e+08
5.480575363645985817e+03 2.883028081000000000e+09
5.458912295198566426e+03 3.411483504000000000e+09
