# Lens_likelihood 	 seed
5.452012158511799498e+03 1.956220761000000000e+09
5.435414864468060841e+03 3.194521496000000000e+09
5.451320998084232997e+03 1.692594735000000000e+09
5.457252998928528541e+03 3.647146299000000000e+09
5.467197463279892872e+03 1.517191123000000000e+09
5.476639626944370320e+03 2.850838759000000000e+09
5.466278677041991614e+03 2.242146000000000000e+06
5.458356897420578207e+03 2.517836930000000000e+09
5.464579838089359328e+03 3.926336788000000000e+09
5.472287662170777367e+03 2.884261480000000000e+08
5.437349487720560319e+03 3.601631591000000000e+09
5.471288354832114237e+03 4.502278770000000000e+08
5.485241637582168551e+03 2.024374754000000000e+09
5.486536176375719151e+03 1.658148883000000000e+09
5.469999723089405052e+03 1.516617949000000000e+09
5.470541793084688834e+03 4.111019528000000000e+09
5.478267465719854954e+03 3.087572872000000000e+09
5.477229652279481343e+03 1.255095834000000000e+09
5.437989160729804098e+03 2.655919206000000000e+09
5.432909242165240357e+03 2.774197932000000000e+09
5.466201798982228865e+03 1.367144563000000000e+09
5.466770694880966403e+03 3.965235268000000000e+09
5.455004829996895751e+03 2.026156150000000000e+08
5.472904456088671395e+03 1.604532227000000000e+09
5.460499531061010202e+03 4.103231061000000000e+09
5.477743063088829331e+03 2.572808806000000000e+09
5.474730882772566474e+03 8.312695670000000000e+08
5.473896264189081194e+03 2.060556930000000000e+09
5.475050822274950406e+03 4.228968426000000000e+09
5.470531997442241845e+03 2.782029180000000000e+09
5.430277121457871544e+03 7.831173080000000000e+08
5.475486959091592325e+03 2.580304389000000000e+09
5.484283263790934143e+03 6.818827520000000000e+08
5.460539580804381330e+03 1.826960486000000000e+09
5.441456982249156681e+03 3.861988756000000000e+09
5.463892054489984730e+03 4.174629824000000000e+09
5.445728210188105550e+03 8.164339720000000000e+08
5.435100683407288670e+03 1.715363750000000000e+08
5.454158472609917226e+03 4.486652470000000000e+08
5.470711603530333377e+03 6.531348090000000000e+08
5.485820633961773638e+03 1.898968141000000000e+09
5.442311210899351863e+03 3.576155087000000000e+09
5.422862778183662158e+03 3.594967630000000000e+09
5.472639694325984237e+03 8.737152720000000000e+08
5.478104501523964245e+03 2.042822271000000000e+09
5.428087300526190120e+03 4.104547514000000000e+09
5.438110674514103266e+03 1.139243830000000000e+09
5.467720496496540363e+03 2.539230111000000000e+09
5.427995510924456539e+03 2.014952002000000000e+09
5.443860797958279363e+03 6.840146760000000000e+08
