# Lens_likelihood 	 seed
5.527225575562321865e+03 3.257335530000000000e+09
5.542557266763164080e+03 2.143988962000000000e+09
5.536447430270942277e+03 1.392257664000000000e+09
5.516207169263158903e+03 3.885831831000000000e+09
5.526123764618441783e+03 6.846550400000000000e+07
5.513373373295909005e+03 2.913811518000000000e+09
5.539583200340474832e+03 3.035549896000000000e+09
5.523549181365029654e+03 3.574373466000000000e+09
5.531477951140734149e+03 1.432691392000000000e+09
5.523386831559966595e+03 2.542300681000000000e+09
5.526920692004943703e+03 1.424519206000000000e+09
5.518453304291631866e+03 1.055132714000000000e+09
5.521688600671846871e+03 2.738119483000000000e+09
5.519430560342065291e+03 3.769083137000000000e+09
5.511166447528603385e+03 2.487489099000000000e+09
5.540081246131377156e+03 2.264599467000000000e+09
5.512677237950345443e+03 2.827005706000000000e+09
5.523573306375550601e+03 4.013137003000000000e+09
5.530120289053296801e+03 8.430454750000000000e+08
5.541926533939284127e+03 2.379565980000000000e+09
5.509974862979696809e+03 1.617167372000000000e+09
5.531414820817399232e+03 3.934882680000000000e+09
5.506028943102203812e+03 3.990188767000000000e+09
5.525472386939034550e+03 1.635732420000000000e+09
5.509484720133274095e+03 6.990820390000000000e+08
5.514820228070119811e+03 4.028132784000000000e+09
5.494235026533034215e+03 3.603296612000000000e+09
5.529170181552876784e+03 8.032746700000000000e+08
5.524448195495298023e+03 6.918967400000000000e+07
5.507640090376364242e+03 4.015110608000000000e+09
5.532981851241493132e+03 2.267739733000000000e+09
5.551220188715452423e+03 2.593697685000000000e+09
5.529908158640988404e+03 2.184057950000000000e+08
5.544345714450932974e+03 1.633332871000000000e+09
5.526760863621855606e+03 1.758494770000000000e+09
5.538492857001510856e+03 1.738793862000000000e+09
5.507284780349619723e+03 2.504363742000000000e+09
5.539035826109309710e+03 2.260303991000000000e+09
5.504165909438653216e+03 3.574804324000000000e+09
5.543863188215151240e+03 3.584986992000000000e+09
5.524275300263419012e+03 1.608607479000000000e+09
5.543505574456476097e+03 2.791682465000000000e+09
5.527034654852273889e+03 3.312756734000000000e+09
5.526033581109146326e+03 2.118394714000000000e+09
5.510923492510120923e+03 1.293581505000000000e+09
5.525961716495441578e+03 3.240522687000000000e+09
5.522192821615072717e+03 2.815349338000000000e+09
5.543660885765426428e+03 1.756222276000000000e+09
