# Lens_likelihood 	 seed
5.134062797925766972e+03 2.950995116000000000e+09
5.152550984138437343e+03 3.473194610000000000e+09
5.139113985342209162e+03 2.778009360000000000e+08
5.119041184394016454e+03 3.695550448000000000e+09
5.122517367555845340e+03 1.957666353000000000e+09
5.159550178844174297e+03 1.259673220000000000e+08
5.107141406254749199e+03 2.369494471000000000e+09
5.163590543986028024e+03 9.435150940000000000e+08
5.176789238464003574e+03 8.412041330000000000e+08
5.145566385533917128e+03 3.238636824000000000e+09
5.139635918576625045e+03 2.055284038000000000e+09
5.159581534139023461e+03 1.944219764000000000e+09
5.152976299473520157e+03 3.340285727000000000e+09
5.138141957495454335e+03 5.517832530000000000e+08
5.131170355930759797e+03 1.196978406000000000e+09
5.163837635941916233e+03 5.406103850000000000e+08
5.127878063963502427e+03 4.880380710000000000e+08
5.179420171486494837e+03 1.945497165000000000e+09
5.187216614017175743e+03 6.616101960000000000e+08
5.144474615204348993e+03 8.957378530000000000e+08
5.126263764688820629e+03 3.008342151000000000e+09
5.147856916791630283e+03 1.758521358000000000e+09
5.118065502404842846e+03 2.435471990000000000e+08
5.122907829368275998e+03 2.979318315000000000e+09
5.158343107494485594e+03 3.370797495000000000e+09
5.150468155230659249e+03 1.232665800000000000e+09
5.172389744621683349e+03 3.214784842000000000e+09
5.110105258148800203e+03 3.814404280000000000e+09
5.093200789965227159e+03 3.214392624000000000e+09
5.161224902752498565e+03 9.713688300000000000e+07
5.165991725626093285e+03 3.632373929000000000e+09
5.131536669531546977e+03 1.525228337000000000e+09
5.148978837522216054e+03 9.079781520000000000e+08
5.147011887595526787e+03 1.924963100000000000e+08
5.101871402792270601e+03 1.330431908000000000e+09
5.154577059471380380e+03 3.419997509000000000e+09
5.137518452167931173e+03 1.791100211000000000e+09
5.119314062421062772e+03 2.707752023000000000e+09
5.162807442533501671e+03 8.088620060000000000e+08
5.124415561562587754e+03 1.720383876000000000e+09
5.114122970295990854e+03 2.559162129000000000e+09
5.118999747186967397e+03 8.417630600000000000e+08
5.109847973937738971e+03 9.332741700000000000e+07
5.140856218658137550e+03 2.897083491000000000e+09
5.166783917262827345e+03 4.446806800000000000e+07
5.126841343421547208e+03 4.245070577000000000e+09
5.163182707418950486e+03 1.583239448000000000e+09
5.146657798406725306e+03 9.533267990000000000e+08
5.132583694750856012e+03 1.519354792000000000e+09
5.119395092975425541e+03 3.403141004000000000e+09
5.152009959306280507e+03 1.252758481000000000e+09
5.116951832426199871e+03 1.466982040000000000e+09
5.177470513300586390e+03 2.004242081000000000e+09
5.136180142371947113e+03 1.451292517000000000e+09
5.120106255327958934e+03 3.686339782000000000e+09
5.193598939655971662e+03 6.813800540000000000e+08
5.134591847834597502e+03 3.224659610000000000e+08
5.156301226033365310e+03 2.631115549000000000e+09
5.162939140466299250e+03 1.141437178000000000e+09
5.137296610230462647e+03 3.752115968000000000e+09
5.154780672388977109e+03 1.428669914000000000e+09
5.135957221719044355e+03 4.830559840000000000e+08
5.146299269347746304e+03 1.796186519000000000e+09
5.131079487992710710e+03 3.929532063000000000e+09
5.147497966917111626e+03 1.125265913000000000e+09
5.107082459729392212e+03 1.591180090000000000e+09
5.159350649947330567e+03 2.168842238000000000e+09
5.139305137616427601e+03 7.820260570000000000e+08
5.133998814221283283e+03 1.033705504000000000e+09
5.142053883755679635e+03 4.005616953000000000e+09
5.162029513972470340e+03 1.258833214000000000e+09
5.167380652048790580e+03 1.938935407000000000e+09
5.125884849838803348e+03 3.596479147000000000e+09
5.136210469982524955e+03 3.790119415000000000e+09
5.111817688814280700e+03 2.212003185000000000e+09
5.167188054741033739e+03 1.004911170000000000e+08
5.148679726478914745e+03 3.925379185000000000e+09
5.176068030101028853e+03 9.479092520000000000e+08
5.075527058695364758e+03 3.232066227000000000e+09
5.139747373003954635e+03 1.873083140000000000e+08
5.169423098967081387e+03 3.296982310000000000e+08
5.153742655717791422e+03 3.743422503000000000e+09
5.162533146001776913e+03 3.548915907000000000e+09
5.116867343965830514e+03 7.096610050000000000e+08
5.159522845168585263e+03 3.307947980000000000e+08
5.144491531177973229e+03 8.531157080000000000e+08
5.155761289004964055e+03 4.243511693000000000e+09
5.140791013169955477e+03 3.056594097000000000e+09
5.121460484117829765e+03 1.279656523000000000e+09
5.153798357726598624e+03 3.505720505000000000e+09
5.141111368286052311e+03 2.485497929000000000e+09
5.106063317133192868e+03 3.839457344000000000e+09
5.162917751898655297e+03 3.707463765000000000e+09
5.164846269823100556e+03 2.340351134000000000e+09
5.157344423814969559e+03 2.520087886000000000e+09
5.163864196166359761e+03 1.850586067000000000e+09
5.107254892258535619e+03 1.018928938000000000e+09
5.157867350802156579e+03 1.088561117000000000e+09
5.141291355485659551e+03 4.026569088000000000e+09
5.158455810333507543e+03 1.780823268000000000e+09
5.152892515088968139e+03 2.812963400000000000e+08
5.161626909302831336e+03 1.959200022000000000e+09
5.128409151970912717e+03 8.552976200000000000e+07
5.153771958069270113e+03 2.071736090000000000e+09
5.161853151305980646e+03 1.336721504000000000e+09
5.159337546969280083e+03 2.421435441000000000e+09
5.133109359216105986e+03 3.060188999000000000e+09
5.154231292436938020e+03 5.740119060000000000e+08
5.161105123560097127e+03 2.067937625000000000e+09
5.132251089781620976e+03 3.724592358000000000e+09
5.140241452390790073e+03 3.512099597000000000e+09
5.099339595095136247e+03 1.763785245000000000e+09
5.150765477902088605e+03 8.333834200000000000e+08
5.144782019862666857e+03 1.584778946000000000e+09
5.138114647506099573e+03 1.506331049000000000e+09
5.160549343109815709e+03 2.024103997000000000e+09
5.141127100326006257e+03 2.740658876000000000e+09
5.161344431734951286e+03 2.691298289000000000e+09
5.160454763652418478e+03 3.045679438000000000e+09
5.182629485331563956e+03 5.362609570000000000e+08
5.142032262739182443e+03 4.760739110000000000e+08
5.117885425257711177e+03 1.737092547000000000e+09
5.129669233963521037e+03 1.741788968000000000e+09
5.127810312871961287e+03 3.607623578000000000e+09
5.116701107982569738e+03 2.218506756000000000e+09
5.146297394123484082e+03 3.641139100000000000e+08
5.168198342674228115e+03 1.310759811000000000e+09
5.137727542982414889e+03 3.559014121000000000e+09
5.154402927688460295e+03 1.150183087000000000e+09
5.156152292337546896e+03 2.240586111000000000e+09
5.156668511791576748e+03 1.653873150000000000e+08
5.152344610402040416e+03 1.569400319000000000e+09
5.171155885358417436e+03 2.548278329000000000e+09
5.146336946932836327e+03 3.164966745000000000e+09
5.130091554849035674e+03 2.193988628000000000e+09
5.140177178950687448e+03 3.334193102000000000e+09
5.119147302820408186e+03 3.597033535000000000e+09
5.133967181236466786e+03 9.787275300000000000e+08
5.116970414105606324e+03 2.509800279000000000e+09
5.127029027801733719e+03 2.002184853000000000e+09
5.137237741624922819e+03 8.362867000000000000e+08
5.122742618754989962e+03 3.725086749000000000e+09
5.133348821816731288e+03 1.373183202000000000e+09
5.166819803531792786e+03 2.978759888000000000e+09
5.167393122824294551e+03 3.963614355000000000e+09
5.132429911634895689e+03 1.873530669000000000e+09
5.154836759239451567e+03 1.824660291000000000e+09
