# Lens_likelihood 	 seed
5.521503491874600513e+03 3.629964392000000000e+09
5.522659062302473103e+03 2.199963558000000000e+09
5.514518492005951884e+03 1.063118737000000000e+09
5.489983381372021540e+03 1.847013349000000000e+09
5.501089462260937580e+03 1.880169398000000000e+09
5.535233091553514896e+03 3.476103813000000000e+09
5.514477268924425516e+03 1.226694847000000000e+09
5.501347692796488445e+03 3.448470527000000000e+09
5.502066440638746826e+03 1.400208085000000000e+09
5.514076206775844184e+03 4.115068789000000000e+09
5.519744690528012143e+03 4.261686880000000000e+09
5.506441812384764489e+03 3.157586068000000000e+09
5.529241660736508493e+03 7.612786350000000000e+08
5.525165625932878356e+03 5.511734520000000000e+08
5.492208493011785322e+03 2.480180100000000000e+07
5.534132134360317650e+03 5.976349560000000000e+08
5.515346484540147685e+03 4.047471310000000000e+09
5.516902762493547925e+03 1.010319665000000000e+09
5.518999684322950998e+03 3.962464527000000000e+09
5.515966878660945440e+03 3.079070816000000000e+09
5.512695114174946866e+03 5.109242090000000000e+08
5.530786798679121603e+03 1.937153555000000000e+09
5.515250229178307563e+03 3.533005794000000000e+09
5.525462902652819139e+03 3.724831790000000000e+09
5.510803791537897268e+03 8.492539910000000000e+08
5.506552852399622680e+03 2.077012921000000000e+09
5.529351592201486710e+03 9.134661530000000000e+08
5.529678534514812782e+03 1.391369124000000000e+09
5.499294055743275749e+03 3.258254468000000000e+09
5.504499196923080490e+03 2.163703158000000000e+09
5.516807891182997992e+03 2.446675904000000000e+09
5.517069268315709451e+03 3.616776432000000000e+09
5.516220403691486354e+03 3.704811769000000000e+09
5.505018998133073183e+03 2.931256567000000000e+09
5.525134664393306593e+03 1.344233897000000000e+09
5.485787820689929504e+03 9.490710750000000000e+08
5.505727723419447102e+03 3.743621547000000000e+09
5.497237056021783246e+03 2.766473222000000000e+09
5.494514354842822286e+03 7.644810330000000000e+08
5.520017304476699792e+03 2.960478932000000000e+09
5.514662161009728152e+03 3.482235011000000000e+09
5.515393211550348497e+03 3.009242758000000000e+09
5.517838594391208972e+03 3.396224794000000000e+09
5.485404588841375698e+03 2.970251200000000000e+07
5.524902959681476204e+03 3.706656799000000000e+09
5.517635436996974022e+03 7.553458030000000000e+08
5.515367623908379755e+03 1.178401575000000000e+09
5.511759640592722462e+03 1.783762829000000000e+09
5.515374799236135914e+03 3.444746200000000000e+09
5.514168048437180005e+03 2.823244135000000000e+09
5.505295678737585149e+03 9.770661000000000000e+07
5.538554381950238167e+03 7.612753330000000000e+08
5.516928451111663890e+03 2.347764568000000000e+09
5.540616701340791224e+03 2.413130831000000000e+09
5.504974372837847113e+03 7.358119040000000000e+08
5.509117529021667906e+03 2.653572368000000000e+09
5.495999817447240275e+03 1.369014021000000000e+09
5.499699306560350124e+03 3.196387529000000000e+09
5.511542046444948028e+03 2.052208291000000000e+09
5.505651331061529163e+03 1.660209647000000000e+09
5.513028849982862994e+03 7.650716050000000000e+08
5.524498314658259915e+03 3.089919965000000000e+09
5.517776506645359405e+03 2.502215236000000000e+09
5.510446206396004527e+03 1.306100902000000000e+09
5.521848560564389118e+03 3.213030414000000000e+09
5.493348747831234505e+03 2.513224470000000000e+09
5.529493902413032629e+03 3.363853694000000000e+09
5.505269081323512182e+03 8.289152420000000000e+08
5.496165068975195027e+03 3.672359476000000000e+09
5.517229363952694257e+03 3.370820602000000000e+09
5.524319896858951324e+03 3.784436660000000000e+08
5.522788866613091159e+03 2.104331147000000000e+09
5.520831995343549352e+03 1.673477259000000000e+09
5.500450909094402959e+03 3.244337070000000000e+09
5.508243171792961220e+03 1.781346512000000000e+09
5.520390509086558268e+03 2.793115109000000000e+09
5.528163712515706720e+03 6.571596810000000000e+08
5.512140609453832440e+03 2.395752145000000000e+09
5.493340885344934577e+03 3.981222174000000000e+09
5.527280095246163910e+03 5.966665770000000000e+08
5.498178071533063303e+03 3.577600298000000000e+09
5.479960777237142793e+03 2.738705302000000000e+09
5.484023232608989929e+03 3.040825181000000000e+09
5.515957202240992046e+03 2.994789500000000000e+07
5.512725067434424091e+03 3.894278037000000000e+09
5.512045638125893674e+03 1.324913345000000000e+09
5.495697927018303744e+03 6.092626770000000000e+08
5.502945034386449151e+03 2.513037825000000000e+09
5.524657893766878260e+03 2.780696345000000000e+09
5.503409203040039756e+03 3.613468520000000000e+09
5.545092579342471254e+03 9.860573430000000000e+08
5.522337533562936187e+03 3.650053392000000000e+09
5.523700360269247540e+03 3.914363351000000000e+09
5.518753928187715246e+03 3.159105502000000000e+09
5.529009085759709706e+03 3.973271919000000000e+09
5.500174073050960942e+03 3.329221174000000000e+09
5.526242629634167315e+03 2.233625724000000000e+09
5.530509655110845415e+03 3.318350952000000000e+09
5.479264193893242009e+03 3.273741558000000000e+09
5.516599407423380399e+03 3.180241187000000000e+09
5.500622589544939729e+03 3.045955340000000000e+09
