# Lens_likelihood 	 seed
5.587512226658882355e+03 1.031172312000000000e+09
5.483884783090137716e+03 1.581671620000000000e+08
5.607270610411548660e+03 3.811987935000000000e+09
5.544337844043142468e+03 3.722743191000000000e+09
5.546571274111829553e+03 4.199508330000000000e+09
5.600248984103229304e+03 2.612013187000000000e+09
5.535863341428801505e+03 4.749781340000000000e+08
5.566798743718054538e+03 3.175588302000000000e+09
5.560956298229333697e+03 2.591825486000000000e+09
5.585965997075370979e+03 1.910919418000000000e+09
5.589208244191249833e+03 2.918791946000000000e+09
5.594768905375521172e+03 1.956724121000000000e+09
5.551251127662693762e+03 2.913491123000000000e+09
5.541938700622759825e+03 7.950045800000000000e+07
5.556274338932982573e+03 8.619402000000000000e+07
5.568061527396532256e+03 3.111193615000000000e+09
5.609967819635657179e+03 2.121840669000000000e+09
5.574704546231754648e+03 3.900252827000000000e+09
5.465850064911377558e+03 1.481083414000000000e+09
5.584714342926997233e+03 4.119695486000000000e+09
5.534704574689081710e+03 3.185169916000000000e+09
5.585779712784332332e+03 2.267659994000000000e+09
5.554279498234852326e+03 3.252036460000000000e+09
5.602713882987100078e+03 1.741586578000000000e+09
5.554618480037911468e+03 2.195672780000000000e+09
5.589941816802960602e+03 3.229878501000000000e+09
5.572673125161059943e+03 5.795283050000000000e+08
5.524689358411788817e+03 1.985826238000000000e+09
5.557114757893152273e+03 8.562502620000000000e+08
5.508667097943899535e+03 2.047203470000000000e+09
5.527938820246105024e+03 2.337811670000000000e+08
5.629876652283062867e+03 4.139298953000000000e+09
5.558072985483165212e+03 3.803396256000000000e+09
5.541853459411263430e+03 1.267275560000000000e+09
5.565983790328829855e+03 3.580269140000000000e+08
5.550309893245312196e+03 2.295560197000000000e+09
5.444162428294816891e+03 3.112273303000000000e+09
5.550794873545793962e+03 1.313379638000000000e+09
5.571734566920231373e+03 3.207512538000000000e+09
5.559551747296780377e+03 1.985255003000000000e+09
5.551498929317525835e+03 8.390933770000000000e+08
5.521757337604001805e+03 3.247191892000000000e+09
5.592803325499189668e+03 2.004537680000000000e+08
5.542150742461824848e+03 1.590664890000000000e+09
5.481906899792312288e+03 4.500618460000000000e+08
5.618122799057177872e+03 1.190494328000000000e+09
5.609695027680468229e+03 4.293121562000000000e+09
5.562269089000873464e+03 5.470491720000000000e+08
5.576730029197218755e+03 7.605131630000000000e+08
5.588855060240180137e+03 7.219138630000000000e+08
5.612261224204376958e+03 1.353001782000000000e+09
5.464866277812547196e+03 3.097662105000000000e+09
5.558635765344309220e+03 4.096249818000000000e+09
5.575999956187743010e+03 2.665103467000000000e+09
5.630241293611422407e+03 1.954260915000000000e+09
5.573820749994863036e+03 2.602549468000000000e+09
5.612571634437194007e+03 2.146913806000000000e+09
5.584485096955890185e+03 3.845010772000000000e+09
5.528147665653556032e+03 9.556168390000000000e+08
5.555657751518578152e+03 3.276083951000000000e+09
5.495224995473532545e+03 2.402568914000000000e+09
5.537224470528059101e+03 7.458648110000000000e+08
5.545577142770705905e+03 5.336512150000000000e+08
5.559253940700272324e+03 2.105276516000000000e+09
5.617975255461222332e+03 1.868010180000000000e+08
5.566934575211685114e+03 3.421011083000000000e+09
5.565906323882926699e+03 1.704120383000000000e+09
5.581413522418418324e+03 2.059099439000000000e+09
5.576624267193952619e+03 1.772944318000000000e+09
5.533402224599413785e+03 4.482131650000000000e+08
5.556434334732899515e+03 1.711596931000000000e+09
5.533728851092072546e+03 8.780397100000000000e+08
5.568962882559768332e+03 2.612952217000000000e+09
5.585793041551463830e+03 1.531213767000000000e+09
5.577951652719729282e+03 3.651595600000000000e+07
5.550277669637971485e+03 3.410816671000000000e+09
5.544577752375298587e+03 3.049726166000000000e+09
5.571269849676741615e+03 3.038950320000000000e+09
5.589724958916661308e+03 2.400069107000000000e+09
5.594994163982655664e+03 1.881630100000000000e+08
5.583293804737209939e+03 1.265096296000000000e+09
5.588209434991054877e+03 9.536827060000000000e+08
5.556139548024394571e+03 1.696214300000000000e+09
5.522150013133219545e+03 3.962591820000000000e+09
5.593597318263213310e+03 8.670325320000000000e+08
5.564296096883461360e+03 3.870314688000000000e+09
5.568401299699287847e+03 1.321742870000000000e+08
5.564963300631055063e+03 2.405661529000000000e+09
5.538825291146173186e+03 2.569742725000000000e+09
5.529198996385444843e+03 1.232509341000000000e+09
5.602767001980198984e+03 1.712391376000000000e+09
5.508993571718590829e+03 9.913741880000000000e+08
5.561116684823379728e+03 2.708382670000000000e+09
5.548686795925004844e+03 1.599131221000000000e+09
5.559134611511455660e+03 1.050986800000000000e+09
5.575507065010682709e+03 1.871884900000000000e+08
5.475488279908525328e+03 3.936803342000000000e+09
5.539058866628502074e+03 3.886858628000000000e+09
5.538159628524212167e+03 1.769430382000000000e+09
5.554231183067848178e+03 2.920322964000000000e+09
5.601369875436212169e+03 9.784929700000000000e+08
5.579499991539339135e+03 4.240092172000000000e+09
5.523822042480772325e+03 1.569453965000000000e+09
5.543625001498788151e+03 1.334516830000000000e+09
5.572806149104886572e+03 1.446048860000000000e+09
5.556750070075549957e+03 3.041614321000000000e+09
5.563725786998866170e+03 3.860787162000000000e+09
5.571791170989189595e+03 3.721152700000000000e+09
