# Lens_likelihood 	 seed
5.471282270393878207e+03 3.129905511000000000e+09
5.413190454009156383e+03 9.524204010000000000e+08
5.446718043208124072e+03 3.606474141000000000e+09
5.465491553432690125e+03 1.370240290000000000e+09
5.481108590725695649e+03 1.073382334000000000e+09
5.470137724431793686e+03 5.380408610000000000e+08
5.479220046579798691e+03 1.598672164000000000e+09
5.462967197575198952e+03 2.128403336000000000e+09
5.416278582620912857e+03 7.777935100000000000e+07
5.485499608865130540e+03 1.241401938000000000e+09
5.447174233925512453e+03 4.265925955000000000e+09
5.496582473350776127e+03 2.478375437000000000e+09
5.459139721521663887e+03 3.172171599000000000e+09
5.474083217632853120e+03 1.107502396000000000e+09
5.486888995407478433e+03 2.253828106000000000e+09
5.462470261852216026e+03 3.228711212000000000e+09
5.462815694785193955e+03 2.129617962000000000e+09
5.479969684095629418e+03 3.005583529000000000e+09
5.471608745043452473e+03 3.240782734000000000e+09
5.465221399522427419e+03 1.857279243000000000e+09
5.439680744628842149e+03 6.903764560000000000e+08
5.437797505453654594e+03 2.850056910000000000e+09
5.463021017717257564e+03 8.151904380000000000e+08
5.416366095087902067e+03 2.373207640000000000e+09
5.440983123309732946e+03 2.058443363000000000e+09
5.458364328367909366e+03 2.748947655000000000e+09
5.433486907839988817e+03 1.132010343000000000e+09
5.427659468056178412e+03 3.003401547000000000e+09
5.465509370646320349e+03 2.763491592000000000e+09
5.464756141207899418e+03 9.632797350000000000e+08
5.454487996271383963e+03 1.186804864000000000e+09
5.456338348422109448e+03 2.426644631000000000e+09
5.471264378251262315e+03 2.499744379000000000e+09
5.462647879920896230e+03 3.074510075000000000e+09
5.451253055128748201e+03 3.137563336000000000e+09
5.448996317216493480e+03 2.474268670000000000e+08
5.496005493996847690e+03 3.930141341000000000e+09
5.460810527899878252e+03 2.402279693000000000e+09
5.459936928106025334e+03 1.047995146000000000e+09
5.467437018001207434e+03 1.396486288000000000e+09
5.469774995678566484e+03 4.281714219000000000e+09
5.450219323759964027e+03 4.086230465000000000e+09
5.445461704788523093e+03 1.759500646000000000e+09
5.458651036817064778e+03 1.870682138000000000e+09
5.446526055481329422e+03 3.825173140000000000e+09
5.457009520833291390e+03 1.807303750000000000e+09
5.455860992466665266e+03 2.642332572000000000e+09
5.440306672512667319e+03 3.507945351000000000e+09
5.442470084816603958e+03 1.425415335000000000e+09
5.447546730234584174e+03 2.633731859000000000e+09
5.436656828568367018e+03 3.954325771000000000e+09
5.461222793954289955e+03 2.786838860000000000e+08
5.462650569720057320e+03 1.981221758000000000e+09
5.454903948946252058e+03 2.751774766000000000e+09
5.456220731954754228e+03 3.752138233000000000e+09
5.458272229802760194e+03 1.943347608000000000e+09
5.475902719552338567e+03 3.218765108000000000e+09
5.446144207255198125e+03 2.001271737000000000e+09
5.468117359003070305e+03 1.558023594000000000e+09
5.451861771576047431e+03 3.104393332000000000e+09
5.449648698432311903e+03 3.850055364000000000e+09
5.468635847577656023e+03 2.942519490000000000e+09
5.425411306007780695e+03 3.891812735000000000e+09
5.435810402545335819e+03 2.636433880000000000e+09
5.476342580919239481e+03 2.659575679000000000e+09
5.437918175170457289e+03 1.864230304000000000e+09
5.448776163908172748e+03 2.886147430000000000e+08
5.450040817941046043e+03 4.282464200000000000e+08
5.439707311275141365e+03 2.641528693000000000e+09
5.446799815843151919e+03 4.831650770000000000e+08
5.452766979502261165e+03 2.625184653000000000e+09
5.471667683745412432e+03 1.829459095000000000e+09
5.454999174204148403e+03 2.880942422000000000e+09
5.430737802446730711e+03 3.445063887000000000e+09
5.477105765315056487e+03 4.079126057000000000e+09
5.489938408689317839e+03 2.369495357000000000e+09
5.405400832745372099e+03 2.568693789000000000e+09
5.445024138380215845e+03 1.924970970000000000e+08
5.462963073116985470e+03 8.932116700000000000e+07
5.447913907987113816e+03 1.847490298000000000e+09
5.444784718938955848e+03 1.142226456000000000e+09
5.458496950731620018e+03 2.488521167000000000e+09
5.431741705781306337e+03 4.124646731000000000e+09
5.428917403632620335e+03 4.404639050000000000e+08
5.448095679987110998e+03 1.107406394000000000e+09
5.445767093534921514e+03 4.023826876000000000e+09
5.458763107245046740e+03 2.159894217000000000e+09
5.442747603516519121e+03 1.358450485000000000e+09
5.463756755219972547e+03 1.694668207000000000e+09
5.447838371550731608e+03 2.695450642000000000e+09
5.446172032818115440e+03 3.785715559000000000e+09
5.452789513161656942e+03 2.083082318000000000e+09
5.467500224618552238e+03 2.411904988000000000e+09
5.452046162855183866e+03 1.223290352000000000e+09
5.436711545968774772e+03 4.077308685000000000e+09
5.474125178883692570e+03 1.009366089000000000e+09
5.465777811487459985e+03 2.964926975000000000e+09
5.461035570720418036e+03 1.857832603000000000e+09
5.463571753647767764e+03 2.437715123000000000e+09
5.428821904206691215e+03 2.074989055000000000e+09
5.441272204657079783e+03 8.045272590000000000e+08
5.431508911350769267e+03 1.626389870000000000e+08
5.451546870360452886e+03 4.121079416000000000e+09
5.439981591849063079e+03 1.704955642000000000e+09
5.454280256119579462e+03 1.724987564000000000e+09
5.471175299322485444e+03 1.673434392000000000e+09
5.453896313192833077e+03 2.440730743000000000e+09
5.458167333421212788e+03 2.480530478000000000e+09
5.451197986136601685e+03 1.427637725000000000e+09
5.451845427618009126e+03 1.251809155000000000e+09
5.451878906370639015e+03 3.962761734000000000e+09
5.482675992473879887e+03 1.296790190000000000e+09
5.442964130604688762e+03 1.561565528000000000e+09
5.450109066570426876e+03 2.536119105000000000e+09
5.409715896953561241e+03 3.743182547000000000e+09
5.453521261625418447e+03 1.213256596000000000e+09
5.455141272410821330e+03 7.660250890000000000e+08
5.422233336936258638e+03 2.413247304000000000e+09
