# Lens_likelihood 	 seed
5.553857991051334466e+03 2.031254420000000000e+08
5.572254860356299105e+03 3.885785639000000000e+09
5.582351655250708063e+03 2.241449571000000000e+09
5.542127870797636206e+03 2.031932235000000000e+09
5.558330313104062952e+03 3.735733445000000000e+09
5.579468041793098564e+03 2.869381369000000000e+09
5.467498054919007700e+03 4.166484719000000000e+09
5.508549466708492218e+03 3.785298118000000000e+09
5.563076212460780880e+03 1.702622972000000000e+09
5.602676893813159040e+03 8.985705720000000000e+08
5.594678725331775240e+03 1.476926485000000000e+09
5.531541879949883878e+03 1.073748550000000000e+08
5.490611855083761839e+03 9.334785190000000000e+08
5.557186814744765798e+03 1.937752284000000000e+09
5.563694006853553219e+03 9.732225500000000000e+08
5.562843082816768401e+03 2.622983275000000000e+09
5.613478393381090427e+03 1.858165158000000000e+09
5.524510314448660210e+03 3.670047824000000000e+09
5.465687527090638469e+03 3.866117250000000000e+08
5.569567158260941142e+03 2.295637025000000000e+09
5.542882100835287019e+03 1.255528296000000000e+09
5.501539618541578420e+03 2.116488325000000000e+09
5.575872883848564015e+03 2.791586116000000000e+09
5.579910000607515030e+03 1.568474340000000000e+09
5.512356628897851806e+03 1.954588977000000000e+09
5.590801141113454833e+03 2.910207290000000000e+09
5.514033013874035532e+03 2.720958566000000000e+09
5.455494396722648162e+03 3.313212919000000000e+09
5.569643121972689187e+03 2.452835156000000000e+09
5.604156008069594463e+03 2.690059077000000000e+09
5.601822498307436035e+03 3.445716144000000000e+09
5.561703296350850906e+03 3.384896032000000000e+09
5.505502617661694785e+03 8.670571220000000000e+08
5.528813722370393407e+03 9.150365710000000000e+08
5.546333957579206071e+03 1.257199193000000000e+09
5.486642799518039283e+03 3.853052002000000000e+09
5.575396366014026171e+03 6.256952630000000000e+08
5.441943672621041515e+03 4.031210266000000000e+09
5.533772042452399546e+03 7.878577320000000000e+08
5.513671358892402168e+03 4.085347593000000000e+09
5.546450559405499007e+03 3.837065813000000000e+09
5.578317722176414463e+03 3.200023860000000000e+08
5.548637446681243091e+03 3.857820913000000000e+09
5.444656933122551891e+03 9.165081890000000000e+08
5.522924978811153778e+03 1.506228963000000000e+09
5.553805306429114353e+03 3.940964811000000000e+09
5.480810969348799517e+03 3.196408126000000000e+09
5.542118821545056562e+03 1.534050577000000000e+09
5.598286456328867644e+03 1.320968768000000000e+09
5.552157856699614968e+03 3.795352453000000000e+09
5.539113431133440827e+03 2.024438868000000000e+09
5.524920089203444149e+03 2.049387050000000000e+08
5.548483138336593584e+03 3.144085867000000000e+09
5.564572324828266574e+03 3.998335924000000000e+09
5.564157497566200618e+03 3.886739659000000000e+09
5.601406818211025893e+03 4.037353864000000000e+09
5.537887290981111619e+03 3.322426210000000000e+09
5.515960252690750167e+03 1.330738124000000000e+09
5.505056405510786135e+03 2.996153402000000000e+09
5.577882321193695134e+03 2.694998834000000000e+09
5.521234355514199706e+03 2.569535935000000000e+09
5.530367607841655627e+03 5.171069710000000000e+08
5.476783105128492025e+03 3.592012727000000000e+09
5.559849124878834118e+03 1.157740010000000000e+08
5.575003151606772008e+03 2.240065251000000000e+09
5.522583533753700976e+03 1.227906610000000000e+08
5.576818365501840162e+03 1.665648625000000000e+09
5.577738699443510086e+03 2.497547566000000000e+09
5.555261232286647100e+03 2.597883495000000000e+09
5.585693299484672025e+03 2.788242488000000000e+09
5.519962920896249670e+03 4.503222060000000000e+08
5.515958276839894097e+03 3.453980110000000000e+09
5.528234562759408618e+03 1.982645000000000000e+08
5.572924313405978864e+03 3.569698680000000000e+09
5.576621333106009843e+03 1.339187613000000000e+09
5.509863290252907973e+03 3.078233992000000000e+09
5.544576576185478189e+03 2.541348901000000000e+09
5.569486515359521036e+03 8.929350960000000000e+08
5.584032096313419970e+03 8.453300930000000000e+08
5.573930837555736616e+03 3.127973481000000000e+09
5.546736125400717356e+03 3.020439197000000000e+09
5.521109782340539823e+03 8.550052570000000000e+08
5.570896051885064480e+03 1.045315285000000000e+09
5.531939663117574128e+03 2.407285748000000000e+09
5.552822605748444403e+03 2.488194017000000000e+09
5.603478309125396663e+03 5.147248540000000000e+08
5.546489895488633920e+03 9.331267840000000000e+08
5.477510433844693580e+03 2.892994591000000000e+09
5.564363135312048144e+03 4.057443045000000000e+09
5.578904272152304657e+03 4.206131690000000000e+08
5.542198778948730251e+03 2.705824222000000000e+09
5.584006653353180809e+03 1.348387248000000000e+09
5.551387854580721068e+03 1.856454587000000000e+09
5.550810198855034287e+03 3.717823837000000000e+09
5.562051645452199409e+03 7.531402590000000000e+08
5.513611368580497583e+03 1.734251246000000000e+09
5.571878767550045268e+03 9.968347190000000000e+08
5.578143086062134898e+03 3.383428556000000000e+09
5.579308359303655379e+03 2.171601160000000000e+09
5.494225716529665988e+03 3.474754463000000000e+09
5.549663521600054082e+03 5.990189630000000000e+08
5.580090123767296063e+03 5.922657200000000000e+07
5.543715284400137534e+03 4.225820553000000000e+09
5.582932743544321966e+03 3.225739671000000000e+09
5.547418518395907995e+03 3.060242052000000000e+09
5.579997553276225517e+03 3.409155388000000000e+09
5.553632711748397924e+03 2.109801163000000000e+09
5.511776240003364364e+03 3.947583509000000000e+09
5.558798776045411614e+03 3.083349781000000000e+09
5.520304130536795128e+03 3.995630969000000000e+09
5.566804319168128131e+03 1.438062145000000000e+09
5.568744496957418960e+03 6.855567000000000000e+08
5.458177974892687416e+03 3.318331729000000000e+09
5.536559931518579106e+03 1.610775162000000000e+09
5.515156085643979168e+03 3.271669363000000000e+09
5.563233345039896449e+03 2.262880028000000000e+09
5.565615108329628129e+03 3.621274072000000000e+09
5.482009209263887897e+03 2.865001046000000000e+09
5.547140270367262019e+03 2.415061246000000000e+09
5.558665240189295218e+03 2.881204479000000000e+09
5.537809529684428526e+03 1.682445007000000000e+09
5.542916738331705346e+03 1.504330864000000000e+09
5.598875938595211665e+03 3.790437484000000000e+09
5.546355006879968641e+03 3.470823924000000000e+09
5.575202245684860827e+03 2.539124199000000000e+09
5.483309195220766924e+03 3.762067433000000000e+09
5.544202807797273636e+03 3.496009811000000000e+09
5.519765705541817624e+03 1.765640213000000000e+09
5.566699336751686133e+03 5.650262000000000000e+06
5.560784280868171663e+03 4.188825516000000000e+09
5.574075012306077042e+03 1.966843255000000000e+09
5.548915666907853847e+03 7.992597130000000000e+08
5.555770467070618906e+03 3.469098187000000000e+09
5.594121501163769608e+03 3.553661596000000000e+09
5.500494961962022899e+03 2.482831495000000000e+09
5.541786622468571295e+03 3.910879111000000000e+09
5.550324067642242881e+03 3.960111469000000000e+09
5.510642733265092829e+03 2.678012270000000000e+08
5.562195487183724254e+03 3.017779836000000000e+09
5.567943668113774038e+03 2.559239510000000000e+08
5.571310848875660668e+03 3.650725188000000000e+09
5.541184739419892139e+03 3.272556144000000000e+09
5.590092471461162859e+03 4.222301086000000000e+09
5.556817363873739851e+03 2.439584087000000000e+09
5.570783884138017129e+03 4.557694810000000000e+08
5.538690633763810183e+03 2.047023578000000000e+09
5.555202388083333062e+03 2.686471525000000000e+09
5.589146090782915053e+03 2.537238292000000000e+09
5.581983533790205911e+03 3.586273220000000000e+08
5.586844971405488650e+03 1.175678463000000000e+09
5.559560112556704553e+03 4.204068819000000000e+09
5.569712782722190241e+03 7.017937570000000000e+08
5.550487956315033443e+03 6.905110940000000000e+08
5.556977134621173718e+03 2.232395713000000000e+09
5.584473396887444324e+03 3.713991546000000000e+09
5.594567872715095291e+03 1.666400485000000000e+09
5.558477284002447050e+03 3.608214427000000000e+09
5.574571964056523939e+03 1.705703433000000000e+09
5.629555534130522574e+03 2.636601555000000000e+09
5.538999982266397637e+03 3.448203599000000000e+09
5.538428760945735121e+03 2.421335036000000000e+09
5.502872604095737188e+03 2.666213804000000000e+09
5.556093247898035770e+03 3.586972366000000000e+09
5.563033286458265138e+03 1.804625608000000000e+09
5.573323252531996332e+03 1.688531546000000000e+09
5.517486967375160930e+03 1.828620878000000000e+09
5.579763711441562918e+03 2.792974730000000000e+09
5.529857481103912505e+03 4.229167683000000000e+09
5.590144246830375778e+03 1.641189812000000000e+09
5.567895981855363061e+03 1.434042210000000000e+08
5.550420631871208570e+03 2.159749760000000000e+08
5.543997301602268635e+03 1.882796161000000000e+09
5.584823304897059643e+03 3.790368715000000000e+09
5.522660473506385642e+03 1.781955479000000000e+09
5.513885628291652210e+03 3.928520321000000000e+09
5.521521722351507378e+03 1.035809817000000000e+09
5.477731061777874856e+03 1.114348528000000000e+09
5.574768521889123804e+03 3.888835700000000000e+08
5.541674304946747725e+03 1.454744393000000000e+09
5.527031504541006143e+03 4.105574116000000000e+09
5.512136644829050965e+03 1.076889192000000000e+09
5.524853364617246370e+03 4.090573181000000000e+09
5.481223442037939094e+03 5.741135460000000000e+08
5.532613328229836043e+03 4.267612531000000000e+09
5.599081402485281615e+03 2.329662203000000000e+09
5.597602857251499699e+03 6.342882650000000000e+08
5.551812479748637088e+03 3.499387250000000000e+09
5.556656025813423184e+03 3.029476409000000000e+09
5.520988768135232021e+03 2.222457061000000000e+09
5.574107348400670162e+03 2.084385576000000000e+09
5.557969764027178826e+03 3.157865430000000000e+09
5.595408579742394068e+03 2.151309732000000000e+09
5.548626837940370024e+03 1.951113192000000000e+09
5.575706951141737591e+03 8.207214120000000000e+08
5.553088628410928322e+03 2.394928614000000000e+09
5.468520454858029552e+03 3.881577291000000000e+09
5.592468260743193241e+03 3.496526600000000000e+07
5.493569464008345676e+03 2.935476235000000000e+09
5.562423014225977568e+03 2.620890067000000000e+09
5.511747852057811542e+03 1.137129740000000000e+08
5.531971795778590604e+03 1.040445986000000000e+09
5.489693640160747236e+03 3.674254091000000000e+09
5.560552530097415911e+03 2.852303605000000000e+09
5.583625484774771394e+03 5.720120140000000000e+08
5.363284806531590220e+03 7.298765800000000000e+07
5.587231527329555320e+03 1.204149839000000000e+09
5.533480922168537290e+03 1.968148190000000000e+09
5.575708447231955688e+03 1.050401287000000000e+09
5.526650619739175454e+03 3.536241027000000000e+09
5.598352724198377473e+03 4.198001027000000000e+09
5.519957132081192867e+03 1.324051046000000000e+09
5.526749857593923480e+03 2.238058445000000000e+09
5.522734272172880992e+03 3.577014701000000000e+09
5.543233893205095228e+03 3.916947967000000000e+09
5.558646994515833285e+03 3.320785510000000000e+09
5.493305226585831406e+03 3.109466230000000000e+08
5.568219638284165740e+03 1.447674810000000000e+09
5.587487980493564464e+03 3.809752901000000000e+09
5.549095580970278206e+03 2.613843185000000000e+09
5.598387363670306513e+03 8.160608440000000000e+08
5.522911998490817496e+03 2.780287453000000000e+09
5.543108601046966214e+03 3.729830647000000000e+09
5.568203378437870924e+03 3.955063370000000000e+09
5.599602281334631698e+03 7.081790150000000000e+08
5.535659298960517845e+03 2.758297046000000000e+09
5.581351938156299184e+03 1.612717352000000000e+09
5.524078254140461468e+03 3.665477390000000000e+09
5.564438416790512747e+03 1.406353004000000000e+09
5.464170420316346281e+03 1.477991016000000000e+09
5.594119105110457895e+03 1.478820238000000000e+09
5.519458696727631832e+03 4.038311884000000000e+09
5.523777273786337901e+03 1.288810888000000000e+09
5.510090195861544998e+03 2.880787050000000000e+09
5.558041364062713001e+03 8.457692390000000000e+08
5.515683925833249305e+03 2.654924750000000000e+09
5.516350474598171786e+03 1.233799479000000000e+09
5.545693996954826616e+03 1.055759769000000000e+09
5.504238644885321264e+03 1.353965652000000000e+09
5.565645571599281539e+03 2.478084850000000000e+08
5.591846237130466761e+03 3.493654591000000000e+09
5.551448881570798221e+03 1.008954516000000000e+09
5.612555844562235507e+03 3.515638176000000000e+09
