# Lens_likelihood 	 seed
4.732428079080639691e+03 1.208560555000000000e+09
4.657626380419039378e+03 3.687018075000000000e+09
4.761890505706326621e+03 2.086418516000000000e+09
4.710026782457693116e+03 3.368356741000000000e+09
4.746725076754457405e+03 3.828654247000000000e+09
4.735537397342053737e+03 1.547978650000000000e+09
4.786795130427948607e+03 2.249968496000000000e+09
4.733200021695520263e+03 1.668315818000000000e+09
4.764374389953513855e+03 7.453912030000000000e+08
4.758032898852602557e+03 3.279992060000000000e+08
4.768368925840455631e+03 4.140400987000000000e+09
4.755830554020500131e+03 9.785807300000000000e+08
4.773074737952650139e+03 2.261638269000000000e+09
4.724865985436615119e+03 2.173549016000000000e+09
4.740988063420569233e+03 1.189011204000000000e+09
4.692360776596062351e+03 2.878246467000000000e+09
4.722457588086980650e+03 4.284660286000000000e+09
4.748909899207170383e+03 2.720850513000000000e+09
4.767852993837219401e+03 3.059454964000000000e+09
4.741760183157706706e+03 1.262519395000000000e+09
4.714586389801861515e+03 2.936279645000000000e+09
4.739547290573635109e+03 3.333651195000000000e+09
4.693288840371471451e+03 5.488473140000000000e+08
4.730361917959799030e+03 4.082657929000000000e+09
4.777594641589203093e+03 3.230843508000000000e+09
4.746332472346007307e+03 9.544446660000000000e+08
4.766275166789679133e+03 1.292185664000000000e+09
4.728518545347672443e+03 1.107923759000000000e+09
4.755572419434678523e+03 2.228539713000000000e+09
4.671943381238637812e+03 8.978182350000000000e+08
4.766362715318265145e+03 2.060253627000000000e+09
4.755946067077196858e+03 2.147665328000000000e+09
4.742751464554906306e+03 2.306503580000000000e+09
4.785422147585184575e+03 3.646472101000000000e+09
4.795302139084526971e+03 8.688792870000000000e+08
4.788025439724535318e+03 9.560122480000000000e+08
4.710596400162134159e+03 9.599172880000000000e+08
4.726285641616541398e+03 1.760547200000000000e+07
4.744170470214432498e+03 1.836325242000000000e+09
4.811487831130499217e+03 3.157891686000000000e+09
4.736356150026869727e+03 6.543504270000000000e+08
4.736000869754303494e+03 2.205703469000000000e+09
4.721380371449700760e+03 1.425992766000000000e+09
4.750540276724857904e+03 4.207600422000000000e+09
4.694840926455121007e+03 2.732233669000000000e+09
4.750525361873818838e+03 3.399648174000000000e+09
4.641551170403548895e+03 4.058461340000000000e+08
4.713097526439567446e+03 4.193808109000000000e+09
4.722293069244862636e+03 1.324997070000000000e+09
4.685001671754664130e+03 2.517011643000000000e+09
4.759549987590145975e+03 4.122643956000000000e+09
4.750444024730717501e+03 3.156062763000000000e+09
4.737352850381632379e+03 1.588648998000000000e+09
4.715194720955118100e+03 1.267697849000000000e+09
4.739433347803887955e+03 4.155256436000000000e+09
4.738875099606486401e+03 3.230840791000000000e+09
4.734358032031756011e+03 2.047240182000000000e+09
4.757691094770583732e+03 3.711955123000000000e+09
4.770099459830418709e+03 1.119720039000000000e+09
4.747909806225481589e+03 2.690264653000000000e+09
4.725371233425381433e+03 1.980771833000000000e+09
4.765703108893690114e+03 3.746053530000000000e+08
4.769114565784839215e+03 8.737036310000000000e+08
4.768081634663059049e+03 3.027469279000000000e+09
4.719413039812331590e+03 2.533927208000000000e+09
4.762927682349183669e+03 3.977619988000000000e+09
4.678626903517799292e+03 2.610335870000000000e+08
4.744586778088898427e+03 2.423980734000000000e+09
4.730836801340521561e+03 9.207308270000000000e+08
4.740993508071686847e+03 2.868899172000000000e+09
4.731925851059414526e+03 1.603218322000000000e+09
4.747596612768545128e+03 1.240081072000000000e+09
4.672704432609842115e+03 3.805779753000000000e+09
4.739664709934439088e+03 3.547968085000000000e+09
4.764303638468649297e+03 2.119990110000000000e+09
4.730095778631262874e+03 2.712126729000000000e+09
4.771325971710610247e+03 9.118973300000000000e+07
4.748469897052543274e+03 2.488374977000000000e+09
4.769011181622418007e+03 2.447731393000000000e+09
4.742013529909032513e+03 7.750501340000000000e+08
4.703695610018517073e+03 1.924918830000000000e+08
4.731873341621531836e+03 3.229112981000000000e+09
4.720247733020283704e+03 4.152605703000000000e+09
4.715864668733060171e+03 2.789037544000000000e+09
4.711896951695922326e+03 1.441195980000000000e+08
4.735849531584259239e+03 1.633037890000000000e+09
4.721349581090289576e+03 3.678379526000000000e+09
4.760277401885210566e+03 2.036080631000000000e+09
4.713595199942530598e+03 1.206653910000000000e+09
4.682835228143982022e+03 6.952198120000000000e+08
4.736319768573339388e+03 7.315511590000000000e+08
4.756486721554830183e+03 3.296452873000000000e+09
4.739811571825855935e+03 1.049948035000000000e+09
4.700263035119904089e+03 1.645075092000000000e+09
4.779152282915290925e+03 2.745671859000000000e+09
4.772615001261736325e+03 3.868042942000000000e+09
4.742647031273136236e+03 2.034896208000000000e+09
4.736877894459528761e+03 1.809826065000000000e+09
4.707196643459219558e+03 3.932311569000000000e+09
4.740091787437528183e+03 1.699356466000000000e+09
4.744435742050731278e+03 5.326938310000000000e+08
4.735664052806348991e+03 2.509807887000000000e+09
4.715219608519045323e+03 1.841353150000000000e+09
4.701546218697450968e+03 2.252563612000000000e+09
4.715800312301897975e+03 2.420122599000000000e+09
4.694512590080066730e+03 4.068329071000000000e+09
4.760134501032813205e+03 3.689974688000000000e+09
4.711603331531896401e+03 5.193565540000000000e+08
4.738126416062063072e+03 3.249272090000000000e+09
4.777223524613795234e+03 1.890734043000000000e+09
4.757269837179208480e+03 3.257245627000000000e+09
4.752768629868277458e+03 2.621226027000000000e+09
4.744511970125451626e+03 1.986841198000000000e+09
4.692767149754792626e+03 3.516810258000000000e+09
4.697554355356653105e+03 1.261651000000000000e+09
4.763961636265014931e+03 1.496603183000000000e+09
4.748775506414944175e+03 3.041247383000000000e+09
4.736245866440574900e+03 3.406654308000000000e+09
4.677194899070285828e+03 1.944002342000000000e+09
4.722163245395597187e+03 2.029699895000000000e+09
4.776732978547632229e+03 3.053745585000000000e+09
4.740055415945342247e+03 1.288103805000000000e+09
4.669800364159615128e+03 3.534148277000000000e+09
4.752153531487417240e+03 2.910191516000000000e+09
4.760682869839323757e+03 3.396279590000000000e+09
4.759983714975069233e+03 2.698874853000000000e+09
4.733828681128334210e+03 2.156477183000000000e+09
4.749418288561766531e+03 1.550902050000000000e+08
4.779569139919146437e+03 3.512319518000000000e+09
4.732274965959100882e+03 3.371533564000000000e+09
4.685083065119831190e+03 3.815224599000000000e+09
4.737227320918331316e+03 3.018449967000000000e+09
4.737700109055018402e+03 3.283859172000000000e+09
4.717370715519848090e+03 2.546361036000000000e+09
4.751239448507334600e+03 1.864831185000000000e+09
4.756389952087189158e+03 1.394369686000000000e+09
4.579423508798354305e+03 1.757966220000000000e+09
4.707893900062439570e+03 3.998936836000000000e+09
4.720431455253101376e+03 3.816020722000000000e+09
4.733943280606385088e+03 8.649854580000000000e+08
4.767015775272610881e+03 1.081376875000000000e+09
4.741931355020814408e+03 3.604660216000000000e+09
4.760515430202118296e+03 2.895426738000000000e+09
4.733721814374186579e+03 2.912570795000000000e+09
4.761527415927216680e+03 8.981801640000000000e+08
4.714819737377986712e+03 2.406349710000000000e+08
4.689793488381765201e+03 2.366101535000000000e+09
4.740989155333305462e+03 1.339958537000000000e+09
4.719778615681198062e+03 7.073192860000000000e+08
4.756177524916980474e+03 4.043989077000000000e+09
4.760149740129465499e+03 1.020000947000000000e+09
4.728855672700052310e+03 2.191956199000000000e+09
4.734014532837334627e+03 2.413866140000000000e+09
4.711420382819098450e+03 3.821195428000000000e+09
4.760389639332364823e+03 5.126410430000000000e+08
4.697089273361736559e+03 3.543928196000000000e+09
4.773062852777376975e+03 2.395109522000000000e+09
4.739219566916148324e+03 2.149463010000000000e+08
4.755022283579855866e+03 1.229415010000000000e+09
4.772057560176243896e+03 2.677860478000000000e+09
4.728153184632052216e+03 1.160864732000000000e+09
4.752007536479737610e+03 3.249538131000000000e+09
4.721417407452847328e+03 2.038650785000000000e+09
4.751724205464033730e+03 2.408557523000000000e+09
4.785567666123444724e+03 1.385762532000000000e+09
4.763539075649576262e+03 2.174879010000000000e+09
4.770319513412761808e+03 3.034918159000000000e+09
4.720194431433989848e+03 3.248438891000000000e+09
4.762678487467706873e+03 1.265539811000000000e+09
4.760293955023598755e+03 3.774298247000000000e+09
4.741676357342254960e+03 1.886103603000000000e+09
4.686722252206210214e+03 6.274567870000000000e+08
4.706587414205282585e+03 3.214026480000000000e+09
4.707891150705926520e+03 7.729321400000000000e+07
4.764620678414941722e+03 3.045907602000000000e+09
4.741347068637876873e+03 2.342332610000000000e+09
4.748144257313105300e+03 2.275826557000000000e+09
4.734733228950906778e+03 5.037538310000000000e+08
4.738209175310899809e+03 1.059636947000000000e+09
4.736047802982603571e+03 9.858170700000000000e+08
4.715104910587530867e+03 5.653266940000000000e+08
4.755186227181657159e+03 2.325871532000000000e+09
4.742234286358492682e+03 2.499327666000000000e+09
4.727175469173955207e+03 2.515735307000000000e+09
4.692689805659018020e+03 4.227876507000000000e+09
4.765250661436729388e+03 2.080081686000000000e+09
4.732452364729850160e+03 3.748915918000000000e+09
4.792600005595330913e+03 3.297374408000000000e+09
4.740829526410162543e+03 1.453131659000000000e+09
4.750402997183275147e+03 4.107230789000000000e+09
4.723667207636457533e+03 1.442438137000000000e+09
4.732432728251426852e+03 3.790088104000000000e+09
4.747738461061202543e+03 6.423855990000000000e+08
4.748044538799018483e+03 1.626887141000000000e+09
4.633967607652068182e+03 6.252591750000000000e+08
4.751464269944923217e+03 3.260782928000000000e+09
4.721625492422297611e+03 7.067553570000000000e+08
4.726233861988151148e+03 7.739227520000000000e+08
4.739763490639281372e+03 2.041296330000000000e+09
4.785487753147299372e+03 2.147499083000000000e+09
4.767067897851291491e+03 2.038697195000000000e+09
4.735998652717757068e+03 3.527946782000000000e+09
4.683964555191016188e+03 3.266455988000000000e+09
4.722125444734321718e+03 2.021731951000000000e+09
4.777116413811378152e+03 1.250647630000000000e+08
4.665843111076555942e+03 3.669246487000000000e+09
