# Lens_likelihood 	 seed
6.181168384869275542e+03 1.089188905000000000e+09
6.165157904861516727e+03 4.051592898000000000e+09
6.175623839049301750e+03 1.536418203000000000e+09
6.198831628931377963e+03 3.217982092000000000e+09
6.184474350265457360e+03 2.823008925000000000e+09
6.206507462509236575e+03 1.315499133000000000e+09
6.193939139978679123e+03 3.745724370000000000e+08
6.194769264393430603e+03 2.924092311000000000e+09
6.179141457694579003e+03 8.192430600000000000e+07
6.224198906925444135e+03 7.504475970000000000e+08
6.193682541965563360e+03 3.563450714000000000e+09
6.210983959983487694e+03 9.160024160000000000e+08
6.167246518325711804e+03 3.468527520000000000e+08
6.180715522151995174e+03 2.664796198000000000e+09
6.208123696119062515e+03 3.719945504000000000e+09
6.236186773130072652e+03 3.394569652000000000e+09
6.190773112197048249e+03 4.307336080000000000e+08
6.212989582485007304e+03 6.581434600000000000e+07
6.193408083531048760e+03 3.809191952000000000e+09
6.168317480572104614e+03 3.464528362000000000e+09
6.183672609087701858e+03 1.707979455000000000e+09
6.175985867480033448e+03 1.757838953000000000e+09
6.195617757545056520e+03 2.110109634000000000e+09
6.200018188718138845e+03 3.799008933000000000e+09
6.164306927756593723e+03 2.187645610000000000e+09
6.173996115486289455e+03 2.130685419000000000e+09
6.192634399872389622e+03 1.963250360000000000e+09
6.239609047268940230e+03 2.147899828000000000e+09
6.198256100574853917e+03 3.373900790000000000e+08
6.188734339488908518e+03 5.706920800000000000e+07
6.212030234834321163e+03 3.235167632000000000e+09
6.210371260978330611e+03 1.370286874000000000e+09
6.191146508819969313e+03 8.185554940000000000e+08
6.200465696794350151e+03 1.784318012000000000e+09
6.220611467440259730e+03 1.414678524000000000e+09
6.198456992792097481e+03 5.291302730000000000e+08
6.208228421606834672e+03 2.600968780000000000e+08
6.214387209022074785e+03 2.686306100000000000e+09
6.191007207179995021e+03 3.247569980000000000e+09
6.198249259165717376e+03 2.345188254000000000e+09
6.178041975369753345e+03 2.030173777000000000e+09
6.173736852584458575e+03 2.641573268000000000e+09
6.159909011847953479e+03 1.500462633000000000e+09
6.161437643056309753e+03 3.688212694000000000e+09
6.238463284487506826e+03 1.665619871000000000e+09
6.167377082615230393e+03 1.018850942000000000e+09
6.162863995894833351e+03 2.835429470000000000e+08
6.189470782926989159e+03 2.117782866000000000e+09
6.206110919763910715e+03 2.740142597000000000e+09
6.187068163119613018e+03 4.624048950000000000e+08
6.167293531818151678e+03 4.102771760000000000e+08
6.234957113362004748e+03 8.831370790000000000e+08
6.215594704560859100e+03 3.868697632000000000e+09
6.228631903287276145e+03 2.493115181000000000e+09
6.190032479991788932e+03 3.835652816000000000e+09
6.184008632426195618e+03 1.734091470000000000e+08
6.169896288476105838e+03 4.248589865000000000e+09
6.204974951586191310e+03 1.936916344000000000e+09
6.195946264512319431e+03 2.633246160000000000e+08
6.203264580493909307e+03 3.585323822000000000e+09
6.155700690078663683e+03 1.733761314000000000e+09
6.195916718122522070e+03 1.937021157000000000e+09
6.211821487157110823e+03 2.533348801000000000e+09
6.180818325753530189e+03 5.261982740000000000e+08
6.181771133125756023e+03 6.484121600000000000e+07
6.218139802224191953e+03 1.203065577000000000e+09
6.197176681746401300e+03 1.375357541000000000e+09
6.216222830893674654e+03 3.535775128000000000e+09
6.169401723232373115e+03 3.182642761000000000e+09
6.214553168559898950e+03 7.575764720000000000e+08
6.195857098398560993e+03 1.283972159000000000e+09
6.242560485032527140e+03 1.754697494000000000e+09
6.182087518064105097e+03 3.236084101000000000e+09
6.204864850311160808e+03 3.519961704000000000e+09
6.187342714100320336e+03 3.315232473000000000e+09
6.215226748368054359e+03 2.864210698000000000e+09
6.206179108348773298e+03 1.536859424000000000e+09
6.187223649217807179e+03 1.719261090000000000e+08
6.150692415446845189e+03 1.307596656000000000e+09
6.162004093873872989e+03 1.210952396000000000e+09
6.172032183776087550e+03 1.491668988000000000e+09
6.197567049815832434e+03 1.815602480000000000e+08
6.221637134186998082e+03 3.595146890000000000e+09
6.188652600210339187e+03 1.970738923000000000e+09
6.180452075692935978e+03 4.078159681000000000e+09
6.145978166959018381e+03 8.666176520000000000e+08
6.201325922046438791e+03 6.340791520000000000e+08
6.207517291543028477e+03 2.906545640000000000e+09
6.206900189352545567e+03 3.701756242000000000e+09
6.199673718305251896e+03 1.793250212000000000e+09
6.221175963978719665e+03 1.981859380000000000e+08
6.191252142851129065e+03 3.280243487000000000e+09
6.199738582739104459e+03 2.573689905000000000e+09
6.190943229007306400e+03 3.800221246000000000e+09
6.231564575672049614e+03 4.209561710000000000e+08
6.201928139418419960e+03 4.818634230000000000e+08
6.195345457494255243e+03 3.777696442000000000e+09
6.207369835003109984e+03 2.220330030000000000e+09
6.180626751334047185e+03 1.463015510000000000e+08
6.204085661818548033e+03 1.343213883000000000e+09
6.187829791655974077e+03 3.096529363000000000e+09
6.205534397398972033e+03 1.761391297000000000e+09
6.218114842872531881e+03 3.138568040000000000e+09
6.188931382795643003e+03 2.702599710000000000e+09
6.180553889024289674e+03 3.203504742000000000e+09
6.148610351135221208e+03 1.848745800000000000e+08
6.192787163453391258e+03 3.587493332000000000e+09
6.179584870297319867e+03 2.314815394000000000e+09
6.205057442928689852e+03 1.246636832000000000e+09
6.205673833881774954e+03 1.179147381000000000e+09
6.211791016105717972e+03 1.101888820000000000e+08
6.208735808088944395e+03 1.965172335000000000e+09
6.197414173426278467e+03 7.406416500000000000e+07
6.230124658217776414e+03 1.571704270000000000e+08
6.226682606361042417e+03 4.000035495000000000e+09
6.214959280780749395e+03 2.168707696000000000e+09
6.196827442860143492e+03 2.549255053000000000e+09
6.185392208841637512e+03 2.383487623000000000e+09
6.212432966332971773e+03 3.875199181000000000e+09
6.208493932603980284e+03 1.824010153000000000e+09
6.180873089961783990e+03 3.855709893000000000e+09
6.217692971950938954e+03 5.246516870000000000e+08
6.205490107648318372e+03 4.068932858000000000e+09
6.221961014630302998e+03 1.020759796000000000e+09
6.199068871781547386e+03 1.733499390000000000e+09
6.202464102751919199e+03 3.136748289000000000e+09
6.194437191240936954e+03 3.116251693000000000e+09
6.192530048541073484e+03 3.940922649000000000e+09
6.185661145392576145e+03 2.752289235000000000e+09
6.202127643162076311e+03 7.465856290000000000e+08
6.213570853127237569e+03 1.487476403000000000e+09
6.187464233275245533e+03 3.092110999000000000e+09
6.202978893956821594e+03 3.201893945000000000e+09
6.201781595404515429e+03 3.046447297000000000e+09
6.186950281763598468e+03 4.096012046000000000e+09
6.231036798068636926e+03 2.788547748000000000e+09
6.195102996963890291e+03 1.255634517000000000e+09
6.177950876940414673e+03 2.640978180000000000e+09
6.200458418959045957e+03 3.676517153000000000e+09
6.192599900146852633e+03 4.128577669000000000e+09
6.192760251676152620e+03 9.705466180000000000e+08
6.211146448641571624e+03 1.507864406000000000e+09
6.203456831616831550e+03 9.386052870000000000e+08
6.202827435879164113e+03 5.702539980000000000e+08
6.178818331700230374e+03 2.013774893000000000e+09
6.165337753279066419e+03 3.402289330000000000e+08
6.195859281362032561e+03 4.016572865000000000e+09
6.195503469778161161e+03 2.323471626000000000e+09
6.197483974028216835e+03 4.125751280000000000e+09
6.211517612656893107e+03 3.629573443000000000e+09
6.204841939272803756e+03 2.447385214000000000e+09
6.188056127356587240e+03 3.485903616000000000e+09
6.236109556197672646e+03 4.283947589000000000e+09
6.198355701105640037e+03 3.573796935000000000e+09
6.180329697807227603e+03 3.598052144000000000e+09
6.232957242614416828e+03 2.099350630000000000e+08
6.173499730904557509e+03 3.011443037000000000e+09
6.202998299936805779e+03 2.104724412000000000e+09
6.181592730529683649e+03 3.239683247000000000e+09
6.190556060269091176e+03 4.571115070000000000e+08
6.244330583613624185e+03 3.519469774000000000e+09
6.186845406132039898e+03 1.542767927000000000e+09
6.218797618498481825e+03 3.231794911000000000e+09
6.218469621017033205e+03 2.510950597000000000e+09
6.164284087504443960e+03 1.010209966000000000e+09
6.186989454735477011e+03 3.455350064000000000e+09
6.173703081398431095e+03 1.362337930000000000e+08
6.182752645734858561e+03 2.563315947000000000e+09
6.197223868858816786e+03 5.613808600000000000e+07
6.171816905169132951e+03 4.250822624000000000e+09
6.183922800819296754e+03 2.511672348000000000e+09
6.199194699155456874e+03 2.395351339000000000e+09
6.224729882408719277e+03 1.305229543000000000e+09
6.203433209245360558e+03 4.141492060000000000e+08
6.189968817698619205e+03 3.725561179000000000e+09
6.194711957169702146e+03 3.256315501000000000e+09
6.172793954873497569e+03 4.461260420000000000e+08
6.189200347920386776e+03 1.995083800000000000e+07
6.160402565084305024e+03 6.768250810000000000e+08
6.258047232588709448e+03 1.226604720000000000e+08
6.179054218809856138e+03 2.950612845000000000e+09
6.197628749637737201e+03 1.654170304000000000e+09
6.221917617749031706e+03 3.798699810000000000e+09
6.194562531208011023e+03 8.200055840000000000e+08
6.195552817185154709e+03 1.147307089000000000e+09
6.198021258584821226e+03 3.951238210000000000e+08
6.205857247170238224e+03 2.046610169000000000e+09
6.192608989537403431e+03 2.898636305000000000e+09
6.194558479492439801e+03 2.124455093000000000e+09
6.197924586916483349e+03 2.877924445000000000e+09
6.199636507549684211e+03 7.473195070000000000e+08
6.206834558434443352e+03 1.819324797000000000e+09
6.196780462415274087e+03 3.021964600000000000e+09
6.205277005352656488e+03 2.571881029000000000e+09
6.177215199864400347e+03 3.114056868000000000e+09
6.195998955084358386e+03 3.263702055000000000e+09
