# Lens_likelihood 	 seed
8.850431164084448028e+03 1.857950330000000000e+09
8.818396167774204514e+03 8.132887220000000000e+08
8.780325081753646373e+03 1.857609795000000000e+09
8.803667882907328021e+03 1.115687268000000000e+09
8.765768233698574477e+03 4.651764890000000000e+08
8.796561076948068148e+03 3.285100776000000000e+09
8.743370416587564250e+03 1.343944980000000000e+09
8.867275688850810184e+03 3.338162097000000000e+09
8.820023642398929951e+03 3.762019640000000000e+09
8.763473145487640068e+03 3.280420164000000000e+09
8.810382446109491866e+03 3.151254233000000000e+09
8.798417161182820564e+03 3.091653657000000000e+09
8.882268473779095075e+03 3.169892136000000000e+09
8.752840913852120138e+03 2.351231880000000000e+08
8.868084165441065124e+03 2.194978557000000000e+09
8.863336320244254239e+03 1.291425594000000000e+09
8.870144721660937648e+03 3.426855100000000000e+07
8.804002679343249838e+03 1.974251636000000000e+09
8.810341991991839677e+03 1.600930710000000000e+09
8.788731362698592420e+03 4.114156254000000000e+09
8.852173175405390793e+03 8.332881590000000000e+08
8.808033701017480780e+03 1.832094074000000000e+09
8.721460964999838325e+03 2.578549086000000000e+09
8.805897431692264945e+03 7.896623600000000000e+07
8.783799766979107517e+03 2.966074709000000000e+09
8.810418980186856061e+03 4.214225357000000000e+09
8.832215799248751864e+03 1.746012441000000000e+09
8.815747598447453129e+03 2.702274133000000000e+09
8.860849206837519887e+03 1.776048203000000000e+09
8.788557892833980077e+03 1.614250501000000000e+09
8.824398208647235151e+03 5.153166710000000000e+08
8.816909188891475424e+03 2.376361910000000000e+08
8.752882101370312739e+03 4.377934980000000000e+08
8.804219145224000385e+03 1.034082633000000000e+09
8.755425372523241094e+03 5.364586210000000000e+08
8.857313015379166245e+03 3.557409339000000000e+09
8.802306345839242567e+03 1.159210543000000000e+09
8.791206138371973793e+03 2.923559570000000000e+08
8.817671278277675810e+03 1.113041288000000000e+09
8.738042727608291898e+03 2.891402875000000000e+09
8.844706519908915652e+03 1.910234924000000000e+09
8.794247454160142297e+03 1.649020803000000000e+09
8.839289893987614050e+03 2.442681947000000000e+09
8.846641478416224345e+03 2.151582928000000000e+09
8.844983760983490356e+03 3.264654300000000000e+08
8.804520021208340040e+03 1.373915540000000000e+09
8.840833864351126977e+03 2.968212440000000000e+09
8.809544275643303990e+03 8.180745770000000000e+08
8.825788974849016085e+03 4.113780888000000000e+09
8.791083200200209831e+03 3.956609290000000000e+09
8.803702225776247360e+03 2.605202641000000000e+09
8.824467128872372996e+03 3.459014210000000000e+08
8.857996242546194480e+03 4.791341690000000000e+08
8.771606522542377206e+03 3.935775417000000000e+09
8.775368833619517318e+03 1.045237155000000000e+09
8.729184663990492481e+03 4.125919570000000000e+08
8.758313180061317325e+03 1.390026391000000000e+09
8.770990388311649440e+03 1.350647413000000000e+09
8.801786548058278640e+03 3.373026689000000000e+09
8.827686114200190787e+03 7.158463870000000000e+08
8.807790195974375820e+03 3.357363712000000000e+09
8.826258654850749735e+03 3.139265494000000000e+09
8.782277585949559580e+03 2.779528294000000000e+09
8.884210570540362824e+03 1.826320188000000000e+09
8.857541288203156000e+03 2.519223651000000000e+09
8.798824421843593882e+03 1.516356778000000000e+09
8.848883842903745972e+03 2.487909435000000000e+09
