# total 	 kin 	 lens
6.595740677740769570e+03 -6.229782194849170729e+00 6.601970459935619147e+03
6.620492655975631351e+03 -4.872954939734881918e+00 6.625365610915366233e+03
6.620492657711032734e+03 -4.872954939734881918e+00 6.625365612650767616e+03
6.620492657711032734e+03 -4.872954939734881918e+00 6.625365612650767616e+03
6.620492656003199045e+03 -4.872954939734881918e+00 6.625365610942933927e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492655975631351e+03 -4.872954939734881918e+00 6.625365610915366233e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492656427355541e+03 -4.872954939734881918e+00 6.625365611367090423e+03
6.620492657373961265e+03 -4.872954939734881918e+00 6.625365612313696147e+03
6.620492656003199045e+03 -4.872954939734881918e+00 6.625365610942933927e+03
6.624212193284401110e+03 -4.873103329690897212e+00 6.629085296614091931e+03
6.624212193392193512e+03 -4.873103329690897212e+00 6.629085296721884333e+03
6.624212193641827071e+03 -4.873103329690897212e+00 6.629085296971517892e+03
6.624212193641827071e+03 -4.873103329690897212e+00 6.629085296971517892e+03
6.624212193481179384e+03 -4.873103329690897212e+00 6.629085296810870204e+03
6.624212193284401110e+03 -4.873103329690897212e+00 6.629085296614091931e+03
6.624212193641827071e+03 -4.873103329690897212e+00 6.629085296971517892e+03
6.624212193641827071e+03 -4.873103329690897212e+00 6.629085296971517892e+03
6.609915444616470268e+03 -4.917141829906985784e+00 6.614832586446376808e+03
6.609915444616531204e+03 -4.917141829906985784e+00 6.614832586446437745e+03
6.609915445453705615e+03 -4.917141829906985784e+00 6.614832587283612156e+03
6.609915444616470268e+03 -4.917141829906985784e+00 6.614832586446376808e+03
6.609915445861879562e+03 -4.917141829906985784e+00 6.614832587691786102e+03
6.609915444616531204e+03 -4.917141829906985784e+00 6.614832586446437745e+03
6.609915444616470268e+03 -4.917141829906985784e+00 6.614832586446376808e+03
6.609915445861879562e+03 -4.917141829906985784e+00 6.614832587691786102e+03
6.616389329349413856e+03 -4.938857910289523367e+00 6.621328187259703554e+03
6.616389327173072161e+03 -4.938857910289523367e+00 6.621328185083361859e+03
6.616389327173072161e+03 -4.938857910289523367e+00 6.621328185083361859e+03
6.616389327173072161e+03 -4.938857910289523367e+00 6.621328185083361859e+03
6.622550729895280710e+03 -4.947513012534695775e+00 6.627498242907815438e+03
6.622550731326219648e+03 -4.947513012534695775e+00 6.627498244338754375e+03
6.622550731860451378e+03 -4.947513012534695775e+00 6.627498244872986106e+03
6.612795347233914981e+03 -4.969206844147823432e+00 6.617764554078063156e+03
6.612795345320580054e+03 -4.969206844147823432e+00 6.617764552164728229e+03
6.622761134327736727e+03 -4.977104098842509927e+00 6.627738238426579301e+03
6.611938286782909017e+03 -4.981536919696591958e+00 6.616919823702605754e+03
6.611938288258149441e+03 -4.981536919696591958e+00 6.616919825177846178e+03
6.611938288258149441e+03 -4.981536919696591958e+00 6.616919825177846178e+03
6.611938286782909017e+03 -4.981536919696591958e+00 6.616919823702605754e+03
6.611938288258149441e+03 -4.981536919696591958e+00 6.616919825177846178e+03
6.617355884471828176e+03 -4.992004494058918773e+00 6.622347888965887250e+03
6.617355884471828176e+03 -4.992004494058918773e+00 6.622347888965887250e+03
6.617355884471828176e+03 -4.992004494058918773e+00 6.622347888965887250e+03
6.617355885697734266e+03 -4.992004494058918773e+00 6.622347890191793340e+03
6.624032503782728782e+03 -5.045649145110469469e+00 6.629078152927839255e+03
6.624032502714240763e+03 -5.045649145110469469e+00 6.629078151859351237e+03
6.624032502603276953e+03 -5.045649145110469469e+00 6.629078151748387427e+03
6.624032503811206880e+03 -5.045649145110469469e+00 6.629078152956317354e+03
6.624032502714240763e+03 -5.045649145110469469e+00 6.629078151859351237e+03
6.624032501573058653e+03 -5.045649145110469469e+00 6.629078150718169127e+03
6.624032503918603652e+03 -5.045649145110469469e+00 6.629078153063714126e+03
6.624032501502301784e+03 -5.045649145110469469e+00 6.629078150647412258e+03
6.624032503918603652e+03 -5.045649145110469469e+00 6.629078153063714126e+03
6.624032501573058653e+03 -5.045649145110469469e+00 6.629078150718169127e+03
6.624032502603276953e+03 -5.045649145110469469e+00 6.629078151748387427e+03
6.624032502603276953e+03 -5.045649145110469469e+00 6.629078151748387427e+03
6.621037456312826180e+03 -5.066619900063958681e+00 6.626104076212890504e+03
6.621037456728717189e+03 -5.066619900063958681e+00 6.626104076628781513e+03
6.621037456728717189e+03 -5.066619900063958681e+00 6.626104076628781513e+03
6.621037456312826180e+03 -5.066619900063958681e+00 6.626104076212890504e+03
6.622069032117845381e+03 -5.067397795464291477e+00 6.627136429913309257e+03
6.622069032443007927e+03 -5.067397795464291477e+00 6.627136430238471803e+03
6.622069031942211041e+03 -5.067397795464291477e+00 6.627136429737674916e+03
6.622069032117845381e+03 -5.067397795464291477e+00 6.627136429913309257e+03
6.622069031942211041e+03 -5.067397795464291477e+00 6.627136429737674916e+03
6.622069031942211041e+03 -5.067397795464291477e+00 6.627136429737674916e+03
6.619280285311846455e+03 -5.076448021369561303e+00 6.624356733333215743e+03
6.619280285314383946e+03 -5.076448021369561303e+00 6.624356733335753233e+03
6.619280285397155239e+03 -5.076448021369561303e+00 6.624356733418524527e+03
6.619280285339591501e+03 -5.076448021369561303e+00 6.624356733360960789e+03
6.619280286429999251e+03 -5.076448021369561303e+00 6.624356734451368538e+03
6.618499488726348318e+03 -5.089661386331940207e+00 6.623589150112679818e+03
6.618499488726348318e+03 -5.089661386331940207e+00 6.623589150112679818e+03
6.625154470551928171e+03 -5.089662552814234076e+00 6.630244133104742104e+03
6.625154471537663085e+03 -5.089662552814234076e+00 6.630244134090477019e+03
6.625154470690816197e+03 -5.089662552814234076e+00 6.630244133243630131e+03
6.625154468909816387e+03 -5.089662552814234076e+00 6.630244131462630321e+03
6.625154468747882675e+03 -5.089662552814234076e+00 6.630244131300696608e+03
6.610505726289589802e+03 -5.096202907135054971e+00 6.615601929196724996e+03
6.610505727161807044e+03 -5.096202907135054971e+00 6.615601930068942238e+03
6.610505726344003961e+03 -5.096202907135054971e+00 6.615601929251139154e+03
6.610505726344003961e+03 -5.096202907135054971e+00 6.615601929251139154e+03
6.610505727427412239e+03 -5.096202907135054971e+00 6.615601930334547433e+03
6.610505727427412239e+03 -5.096202907135054971e+00 6.615601930334547433e+03
6.610505727427412239e+03 -5.096202907135054971e+00 6.615601930334547433e+03
6.619703423655006191e+03 -5.097741946538009827e+00 6.624801165601544199e+03
6.619703423622586342e+03 -5.097741946538009827e+00 6.624801165569124350e+03
6.619703423860837574e+03 -5.097741946538009827e+00 6.624801165807375583e+03
6.619703423655006191e+03 -5.097741946538009827e+00 6.624801165601544199e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410579928279731e+03 -5.108737081269831393e+00 6.626519317009549923e+03
6.621410580210583248e+03 -5.108737081269831393e+00 6.626519317291853440e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.621410579928279731e+03 -5.108737081269831393e+00 6.626519317009549923e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410579928279731e+03 -5.108737081269831393e+00 6.626519317009549923e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410581495077167e+03 -5.108737081269831393e+00 6.626519318576347359e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.621410580862266215e+03 -5.108737081269831393e+00 6.626519317943536407e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.621410580624047725e+03 -5.108737081269831393e+00 6.626519317705317917e+03
6.615696034405500541e+03 -5.110240108949598792e+00 6.620806274514449797e+03
6.615696034405500541e+03 -5.110240108949598792e+00 6.620806274514449797e+03
6.615696032743681826e+03 -5.110240108949598792e+00 6.620806272852631082e+03
6.611817879186143728e+03 -5.110404102305677654e+00 6.616928283288449165e+03
6.611817878427590585e+03 -5.110404102305677654e+00 6.616928282529896023e+03
6.611817878427590585e+03 -5.110404102305677654e+00 6.616928282529896023e+03
6.611817879186143728e+03 -5.110404102305677654e+00 6.616928283288449165e+03
6.611817879186143728e+03 -5.110404102305677654e+00 6.616928283288449165e+03
6.611817878099920563e+03 -5.110404102305677654e+00 6.616928282202226001e+03
6.611817878466134971e+03 -5.110404102305677654e+00 6.616928282568440409e+03
6.623727650704292500e+03 -5.114645414914245514e+00 6.628842296119206367e+03
6.623727650528003323e+03 -5.114645414914245514e+00 6.628842295942917190e+03
6.623727651239657462e+03 -5.114645414914245514e+00 6.628842296654571328e+03
6.623727650865659598e+03 -5.114645414914245514e+00 6.628842296280573464e+03
6.623727651283887099e+03 -5.114645414914245514e+00 6.628842296698800965e+03
6.623727650270572667e+03 -5.114645414914245514e+00 6.628842295685486533e+03
6.623727650270572667e+03 -5.114645414914245514e+00 6.628842295685486533e+03
6.623727650270572667e+03 -5.114645414914245514e+00 6.628842295685486533e+03
6.623727650270572667e+03 -5.114645414914245514e+00 6.628842295685486533e+03
6.623727650270572667e+03 -5.114645414914245514e+00 6.628842295685486533e+03
6.623727651283887099e+03 -5.114645414914245514e+00 6.628842296698800965e+03
6.623727651239657462e+03 -5.114645414914245514e+00 6.628842296654571328e+03
6.623727650704292500e+03 -5.114645414914245514e+00 6.628842296119206367e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.616432019125531042e+03 -5.123489557691960350e+00 6.621555508683222797e+03
6.616432019167323233e+03 -5.123489557691960350e+00 6.621555508725014988e+03
6.616432019107808628e+03 -5.123489557691960350e+00 6.621555508665500383e+03
6.616432019048672373e+03 -5.123489557691960350e+00 6.621555508606364128e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.616432019107808628e+03 -5.123489557691960350e+00 6.621555508665500383e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.616432020803815249e+03 -5.123489557691960350e+00 6.621555510361507004e+03
6.634006115812345342e+03 -5.134001554911764131e+00 6.639140117367257517e+03
6.634006116748036220e+03 -5.134001554911764131e+00 6.639140118302948395e+03
6.634006115812345342e+03 -5.134001554911764131e+00 6.639140117367257517e+03
6.634006114782612713e+03 -5.134001554911764131e+00 6.639140116337524887e+03
6.634006114776672803e+03 -5.134001554911764131e+00 6.639140116331584977e+03
6.634006116761436715e+03 -5.134001554911764131e+00 6.639140118316348889e+03
6.634006116748036220e+03 -5.134001554911764131e+00 6.639140118302948395e+03
6.611803258333876329e+03 -5.143431046402062279e+00 6.616946689380278258e+03
6.611803257782121364e+03 -5.143431046402062279e+00 6.616946688828523293e+03
6.611803257883855622e+03 -5.143431046402062279e+00 6.616946688930257551e+03
6.611803257883855622e+03 -5.143431046402062279e+00 6.616946688930257551e+03
6.623189067043404975e+03 -5.153972372629831433e+00 6.628343039416035026e+03
6.623189065760545418e+03 -5.153972372629831433e+00 6.628343038133175469e+03
6.623189064470707308e+03 -5.153972372629831433e+00 6.628343036843337359e+03
6.623189067043404975e+03 -5.153972372629831433e+00 6.628343039416035026e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.623189067043404975e+03 -5.153972372629831433e+00 6.628343039416035026e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.623189065760545418e+03 -5.153972372629831433e+00 6.628343038133175469e+03
6.623189065760545418e+03 -5.153972372629831433e+00 6.628343038133175469e+03
6.623189065704965287e+03 -5.153972372629831433e+00 6.628343038077595338e+03
6.623189065704965287e+03 -5.153972372629831433e+00 6.628343038077595338e+03
6.623189064470707308e+03 -5.153972372629831433e+00 6.628343036843337359e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.623189066701378579e+03 -5.153972372629831433e+00 6.628343039074008630e+03
6.623189064470707308e+03 -5.153972372629831433e+00 6.628343036843337359e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.623189067546398292e+03 -5.153972372629831433e+00 6.628343039919028342e+03
6.616631603073321457e+03 -5.157334191761849596e+00 6.621788937265083405e+03
6.616631602887779081e+03 -5.157334191761849596e+00 6.621788937079541029e+03
6.627771263189186357e+03 -5.157844711678623462e+00 6.632929107900865347e+03
